Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/EFCore.FSharp/after\10b055aef6435c00d09ce250845f96f1194af6c0\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\1281088fe29e61a26c4242903a7048bcb149385f\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\16f8fbef59d7b95d6f9c2d3c6b10f0a422d2acf3\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\2018c7101f4f6d30ed589f871a9ffa1742a85549\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\42102392704a09d64fcb791ecdafb099f2d9cea9\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\52dc2451f9677543828d29f85d0ce24b1136e38b\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\533bf40b0b2e96a7eaad8444016de88706eafe26\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\6a658a15888ef9f794badf728288ffda8180e9b3\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\8f6afe5c6148a939e52d28ee63cc9f8dbb4e8943\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\b54ae71c5bba66b08840c510d223cf90d3b29bf1\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\c65d4038dda9c7e9d3308634446880e7d29afb6e\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\cb6986374f035e80b2c08935168e5ed8ac9da270\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\d39f3988f9510796199e43a235f56d2669497601\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\d569459061da4359fa82bb070e5b35689e7a7c64\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\ea29aed6aae615456f5145abda4f7eb2894e7cea\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
'../in/flagged_repos/EFCore.FSharp/after\ed4ca95007462852503aef0bb925a28a246fe302\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 194
