Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/FAKE/before\0a68823630f1ddc18cd5989e7c4524b5c954254a\MsBuildLogger.fs', 4, 0, 0, 0, 0, 1, 466
'../in/flagged_repos/FAKE/before\127d60849fd7e8909ffa03cd1dffe05dfb75c258\Shell.fs', 5, 3, 3, 1, 2, 1, 4108
'../in/flagged_repos/FAKE/before\1739515564fdd3712640717136e27a62318dd230\StringHelper.fs', 11, 3, 3, 2, 2, 1, 2087
'../in/flagged_repos/FAKE/before\1739515564fdd3712640717136e27a62318dd230\XpkgHelper.fs', 3, 0, 0, 0, 0, 0, 725
'../in/flagged_repos/FAKE/before\1d1ab734a9f90651158995f827bd32cace232ab9\TeamCityHelper.fs', 0, 0, 0, 0, 0, 0, 724
'../in/flagged_repos/FAKE/before\1f4770b77e43aa82b5a62cee9b32f4bcb505d108\RestorePackageHelper.fs', 2, 0, 0, 0, 1, 1, 903
'../in/flagged_repos/FAKE/before\2b280a638fd60d9f1221d2eb37cd902a5475daa1\Zip.fs', 4, 7, 7, 2, 1, 1, 1693
'../in/flagged_repos/FAKE/before\2dd3353848b40aa7304b13662f7cc36a1e080bad\NUnitHelper.fs', 3, 0, 0, 0, 1, 1, 1228
'../in/flagged_repos/FAKE/before\31bb39808b63c30b5445ba4707f0507e0406d93f\FileSystem.fs', 0, 2, 2, 1, 0, 1, 1180
'../in/flagged_repos/FAKE/before\3280688d2d104e8f2f1b1d96d074e618bda1e3be\Vault.fs', 3, 3, 3, 0, 1, 1, 1372
'../in/flagged_repos/FAKE/before\38a0c690c248b323399abf9f6a8b955c2299d598\DotNet.fs', 0, 0, 0, 2, 3, 3, 8653
'../in/flagged_repos/FAKE/before\38a0c690c248b323399abf9f6a8b955c2299d598\FakeRuntime.fs', 4, 2, 1, 6, 11, 1, 7253
'../in/flagged_repos/FAKE/before\3e75fe755d7ea9602e0b1b8dd20ed536304f457b\XpkgHelper.fs', 3, 0, 0, 0, 0, 0, 703
'../in/flagged_repos/FAKE/before\3ff92537a1508d744568732c8ea22cc7c0826cbc\StringHelper.fs', 11, 4, 4, 2, 2, 1, 2296
'../in/flagged_repos/FAKE/before\4ac521ed288aee43eb27e5061533087cd471439e\FileSet.fs', 0, 3, 3, 1, 1, 1, 2692
'../in/flagged_repos/FAKE/before\4ee6769268b27d3784923bc8aea05f227e528446\FakeRuntimeHints.fs', 2, 1, 1, 0, 0, 1, 1646
'../in/flagged_repos/FAKE/before\56851558d9f24846391be84cef294f37023527f4\NuGetHelper.fs', 16, 0, 1, 0, 3, 1, 2561
'../in/flagged_repos/FAKE/before\59f023c2f766c5c7caad0d1bed3a4cb522631f14\StringHelper.fs', 11, 4, 4, 2, 2, 1, 2299
'../in/flagged_repos/FAKE/before\59faa411f99d9775ae66d4771d45c3d580433cc6\CmdLineParsing.fs', 13, 4, 4, 1, 0, 0, 1104
'../in/flagged_repos/FAKE/before\59faa411f99d9775ae66d4771d45c3d580433cc6\Fake.Core.Process.fs', 0, 0, 0, 0, 1, 0, 238
'../in/flagged_repos/FAKE/before\5bbecd8f4bf7cb3cac22a39aa800e04f0a351110\XpkgHelper.fs', 3, 0, 0, 0, 0, 0, 712
'../in/flagged_repos/FAKE/before\5c40af82d4163789cd22a0e7006fa783a9beb574\NugetHelper.fs', 16, 0, 1, 0, 7, 1, 3582
'../in/flagged_repos/FAKE/before\61d0af6c84aaea74ecbfcf4ec9d12b9d1116df6e\SemVerHelper.fs', 0, 0, 0, 0, 0, 0, 1155
'../in/flagged_repos/FAKE/before\65fc279dabd31cf3a84008c439a808cf91b10be1\NugetHelper.fs', 16, 0, 1, 0, 3, 1, 3485
'../in/flagged_repos/FAKE/before\6fd8b4d79012bde7c3210031b5017b6c9fc05fda\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 104
'../in/flagged_repos/FAKE/before\6fd8b4d79012bde7c3210031b5017b6c9fc05fda\DotNetCLIHelper.fs', 22, 3, 3, 0, 7, 1, 2020
'../in/flagged_repos/FAKE/before\6fd8b4d79012bde7c3210031b5017b6c9fc05fda\DotNetHelper.fs', 22, 3, 3, 0, 7, 1, 2030
'../in/flagged_repos/FAKE/before\736f1c4189e0318f7c4f764e2d26e3c8f0ac0306\NuGetHelper.fs', 16, 0, 1, 0, 3, 1, 2530
'../in/flagged_repos/FAKE/before\73a24092018f33a539522fb926289260716f194c\EnvironmentHelper.fs', 3, 0, 1, 1, 0, 1, 791
'../in/flagged_repos/FAKE/before\73a24092018f33a539522fb926289260716f194c\StringHelper.fs', 11, 4, 4, 1, 2, 1, 1368
'../in/flagged_repos/FAKE/before\73bd56265260c5c78cf544ba53b2076df5fcf733\NUnitHelper.fs', 3, 0, 0, 0, 1, 1, 1300
'../in/flagged_repos/FAKE/before\790abd55ccd39223c0d784874f645fc597de2a31\XMLHelper.fs', 2, 1, 2, 0, 3, 1, 1438
'../in/flagged_repos/FAKE/before\7ae1597827c0bf0e7ba6ffa29c113cf3b3edadb6\TraceListener.fs', 2, 0, 0, 0, 1, 0, 3603
'../in/flagged_repos/FAKE/before\81c7cbfe817abcdded7d9b946cb1c113c200f3b9\SimpleHelloWorldTests.fs', 0, 0, 0, 0, 2, 1, 1902
'../in/flagged_repos/FAKE/before\837d9b2507e064f242bcfaa8f8ba7055a7fadd5c\Fake.DotNet.MSBuild.fs', 0, 0, 0, 0, 0, 0, 115
'../in/flagged_repos/FAKE/before\871c298a92aa571a430e798b7b47ad2055e869a5\Fake.DotNet.MSBuild.fs', 0, 0, 0, 0, 0, 0, 127
'../in/flagged_repos/FAKE/before\871c298a92aa571a430e798b7b47ad2055e869a5\MSBuild.fs', 1, 0, 0, 0, 4, 4, 7506
