Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\CallGraph.fs', 2, 1, 1, 0, 0, 0, 1644
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\CompilerMonad.fs', 24, 4, 4, 0, 0, 0, 3420
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\EffectCompilation.fs', 8, 3, 2, 7, 3, 0, 2470
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\GlESCompiler.fs', 12, 4, 4, 1, 6, 0, 10551
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\GlslCompiler.fs', 14, 4, 4, 1, 7, 0, 13938
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\ICompiler.fs', 0, 0, 0, 0, 0, 0, 1607
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\LambdaFunctions.fs', 2, 0, 0, 3, 0, 0, 3844
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Main.fs', 0, 0, 0, 0, 0, 0, 1302
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Optimization.fs', 5, 1, 1, 6, 3, 0, 3509
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Parameters.fs', 3, 0, 0, 2, 2, 0, 1185
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Program.fs', 1, 0, 0, 6, 1, 0, 2637
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\SequentialComposition.fs', 10, 3, 3, 0, 3, 0, 2502
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\ShaderState.fs', 0, 0, 0, 0, 0, 0, 908
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\TypeGraph.fs', 2, 1, 1, 0, 0, 0, 1726
'../in/flagged_repos/FShade/after\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Types.fs', 0, 0, 0, 0, 0, 0, 853
'../in/flagged_repos/FShade/after\490ff02b185af2a5f625bc42cea73f7f07348a4c\BuilderCompilation.fs', 0, 0, 0, 2, 0, 0, 2340
'../in/flagged_repos/FShade/after\490ff02b185af2a5f625bc42cea73f7f07348a4c\ParameterCompilation.fs', 0, 0, 0, 2, 2, 0, 1601
'../in/flagged_repos/FShade/after\490ff02b185af2a5f625bc42cea73f7f07348a4c\Program.fs', 1, 0, 0, 6, 0, 0, 1486
'../in/flagged_repos/FShade/after\7829a95ef333f195eccf7cde431ce29668d2e9f4\BuilderCompilation.fs', 0, 0, 0, 2, 0, 0, 2296
'../in/flagged_repos/FShade/after\7829a95ef333f195eccf7cde431ce29668d2e9f4\Builders.fs', 0, 4, 4, 0, 3, 0, 1760
'../in/flagged_repos/FShade/after\7829a95ef333f195eccf7cde431ce29668d2e9f4\Primitives.fs', 0, 0, 0, 0, 3, 0, 1412
'../in/flagged_repos/FShade/after\828818098ada177c6c158a6c9e4eada0c3b4a25c\Shader.fs', 8, 2, 2, 0, 19, 0, 17044
'../in/flagged_repos/FShade/after\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\Compiler.fs', 27, 13, 13, 2, 18, 0, 21594
'../in/flagged_repos/FShade/after\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\Effect.fs', 16, 5, 5, 3, 2, 0, 6737
'../in/flagged_repos/FShade/after\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\IntrinsicParameters.fs', 0, 0, 0, 0, 0, 0, 1049
'../in/flagged_repos/FShade/after\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\Optimizer.fs', 52, 8, 8, 4, 18, 0, 33942
'../in/flagged_repos/FShade/after\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\Shader.fs', 68, 11, 11, 5, 37, 0, 34344
'../in/flagged_repos/FShade/after\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\SimpleTests.fs', 123, 10, 10, 2, 3, 0, 13623
'../in/flagged_repos/FShade/after\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\UtilityFunction.fs', 0, 0, 0, 0, 0, 0, 2757
'../in/flagged_repos/FShade/after\d3aa77df20926aa2f86ed9144fdd903f4f0a8d91\GlslCompiler.fs', 14, 4, 4, 1, 7, 0, 14054
