Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\CallGraph.fs', 2, 1, 1, 0, 0, 0, 1643
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\CompilerMonad.fs', 24, 4, 4, 0, 0, 0, 3452
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\EffectCompilation.fs', 8, 3, 2, 7, 3, 0, 2499
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\GlESCompiler.fs', 12, 4, 4, 1, 6, 0, 10574
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\GlslCompiler.fs', 14, 4, 4, 1, 7, 0, 13976
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\ICompiler.fs', 0, 0, 0, 0, 0, 0, 1619
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\LambdaFunctions.fs', 2, 0, 0, 3, 0, 0, 3859
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Main.fs', 0, 0, 0, 0, 0, 0, 1302
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Optimization.fs', 5, 1, 1, 6, 3, 0, 3509
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Parameters.fs', 3, 0, 0, 2, 2, 0, 1171
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Program.fs', 1, 0, 0, 6, 1, 0, 1660
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\SequentialComposition.fs', 10, 3, 3, 0, 3, 0, 2504
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\ShaderState.fs', 0, 0, 0, 0, 0, 0, 916
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\TypeGraph.fs', 2, 1, 1, 0, 0, 0, 1730
'../in/flagged_repos/FShade/before\0c099d6acbfd12283fc95a01bb6c2b0c4a00a4ed\Types.fs', 0, 0, 0, 0, 0, 0, 856
'../in/flagged_repos/FShade/before\490ff02b185af2a5f625bc42cea73f7f07348a4c\BuilderCompilation.fs', 0, 0, 0, 2, 0, 0, 2128
'../in/flagged_repos/FShade/before\490ff02b185af2a5f625bc42cea73f7f07348a4c\ParameterCompilation.fs', 0, 0, 0, 2, 2, 0, 1459
'../in/flagged_repos/FShade/before\490ff02b185af2a5f625bc42cea73f7f07348a4c\Program.fs', 1, 0, 0, 6, 0, 0, 1496
'../in/flagged_repos/FShade/before\7829a95ef333f195eccf7cde431ce29668d2e9f4\BuilderCompilation.fs', 0, 0, 0, 2, 0, 0, 2344
'../in/flagged_repos/FShade/before\7829a95ef333f195eccf7cde431ce29668d2e9f4\Builders.fs', 0, 2, 2, 0, 3, 0, 1664
'../in/flagged_repos/FShade/before\7829a95ef333f195eccf7cde431ce29668d2e9f4\Primitives.fs', 0, 0, 0, 0, 3, 0, 895
'../in/flagged_repos/FShade/before\828818098ada177c6c158a6c9e4eada0c3b4a25c\Shader.fs', 6, 2, 2, 0, 19, 0, 16985
'../in/flagged_repos/FShade/before\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\Compiler.fs', 27, 13, 13, 2, 18, 0, 21547
'../in/flagged_repos/FShade/before\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\Effect.fs', 16, 5, 5, 3, 2, 0, 6718
'../in/flagged_repos/FShade/before\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\IntrinsicParameters.fs', 0, 0, 0, 0, 0, 0, 1049
'../in/flagged_repos/FShade/before\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\Optimizer.fs', 52, 8, 8, 4, 18, 0, 33933
'../in/flagged_repos/FShade/before\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\Shader.fs', 68, 11, 11, 5, 37, 0, 34299
'../in/flagged_repos/FShade/before\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\SimpleTests.fs', 123, 10, 10, 2, 3, 0, 13494
'../in/flagged_repos/FShade/before\95906c8d5b1fdd51b4adef4b49e1335546fe9d4f\UtilityFunction.fs', 0, 0, 0, 0, 0, 0, 2766
'../in/flagged_repos/FShade/before\d3aa77df20926aa2f86ed9144fdd903f4f0a8d91\GlslCompiler.fs', 14, 4, 4, 1, 7, 0, 14054
