Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\1e4bdb09405714e96e53aece580a51a2bf5de3b6\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 101
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\1e4bdb09405714e96e53aece580a51a2bf5de3b6\RecordTemplate.fs', 0, 0, 0, 0, 0, 0, 2718
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\ConditionalExpr.fs', 2, 0, 0, 0, 0, 0, 4620
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\ConditionalExpressionTests.fs', 3, 1, 6, 0, 0, 0, 5814
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\ExprCommon.fs', 8, 2, 2, 0, 0, 0, 2586
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\Pickler.fs', 0, 0, 0, 0, 2, 1, 825
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\PicklerResolver.fs', 0, 0, 0, 0, 0, 2, 1862
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\PrimitivePicklers.fs', 0, 0, 0, 1, 0, 1, 2220
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\RecordTemplate.fs', 0, 0, 0, 0, 0, 0, 2178
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\SimpleTableOperationTests.fs', 0, 1, 2, 0, 0, 0, 906
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\UpdateExpr.fs', 3, 2, 1, 1, 0, 0, 4996
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\2bf05f1e0d53d03eb4d3dae0008fcf152f042022\UpdateExpressionTests.fs', 1, 3, 9, 0, 0, 0, 5495
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\713106255a12dd07e2e648d2f6bae1029270ae7a\RecordGenerationTests.fs', 0, 0, 0, 0, 0, 1, 2388
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\713106255a12dd07e2e648d2f6bae1029270ae7a\TypeShape.fs', 0, 0, 0, 5, 6, 0, 11143
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\76b1384d700dd3fb60878ad0a292c7a3bd52b385\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 113
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\76b1384d700dd3fb60878ad0a292c7a3bd52b385\PrimitivePicklers.fs', 0, 0, 0, 1, 0, 1, 3192
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\f7ddf5127daac741ea3714d70633f3341b22821a\PrimitivePicklers.fs', 0, 0, 0, 1, 0, 1, 3188
'../in/flagged_repos/FSharp.AWS.DynamoDB/after\f7ddf5127daac741ea3714d70633f3341b22821a\RecordGenerationTests.fs', 2, 0, 0, 0, 1, 1, 3662
