Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Fabulous/after\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\AboutPage.fs', 0, 0, 0, 0, 0, 0, 1152
'../in/flagged_repos/Fabulous/after\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\DetailPage.fs', 0, 0, 0, 1, 5, 0, 1075
'../in/flagged_repos/Fabulous/after\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\EditPage.fs', 0, 0, 0, 1, 0, 0, 2107
'../in/flagged_repos/Fabulous/after\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\Helpers.fs', 0, 0, 0, 0, 2, 1, 843
'../in/flagged_repos/Fabulous/after\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\Repository.fs', 8, 0, 0, 1, 0, 0, 785
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\APISketchTests.fs', 2, 2, 4, 0, 1, 0, 4864
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\AttributeDefinitions.fs', 0, 0, 0, 0, 0, 0, 1770
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Attributes.fs', 1, 3, 3, 0, 0, 0, 2040
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Benchmarks.fs', 0, 2, 2, 0, 0, 0, 1287
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Lifecycle.fs', 0, 0, 0, 0, 0, 0, 122
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\MapMsg.fs', 2, 0, 0, 0, 0, 0, 134
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Memo.fs', 2, 0, 0, 0, 1, 0, 657
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Primitives.fs', 0, 0, 0, 0, 0, 0, 582
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\TestUI.Attributes.fs', 0, 0, 0, 0, 0, 0, 546
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\TestUI.ViewUpdaters.fs', 7, 0, 0, 0, 0, 0, 370
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\TestUI.Widgets.fs', 3, 0, 0, 0, 1, 0, 1864
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\ViewNode.fs', 4, 3, 3, 0, 0, 0, 1133
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\WidgetDefinitions.fs', 3, 0, 0, 0, 0, 0, 179
'../in/flagged_repos/Fabulous/after\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\WidgetDiff.fs', 85, 2, 2, 0, 0, 0, 3901
