Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Fabulous/before\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\AboutPage.fs', 0, 0, 0, 0, 0, 0, 1164
'../in/flagged_repos/Fabulous/before\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\DetailPage.fs', 0, 0, 0, 1, 5, 0, 1063
'../in/flagged_repos/Fabulous/before\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\EditPage.fs', 0, 0, 0, 1, 0, 0, 2185
'../in/flagged_repos/Fabulous/before\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\Helpers.fs', 0, 0, 0, 0, 2, 1, 762
'../in/flagged_repos/Fabulous/before\56b3f7ba6d062f5fbd9370c47c1ba622b01c0041\Repository.fs', 8, 0, 0, 1, 0, 0, 721
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\APISketchTests.fs', 2, 2, 4, 0, 1, 0, 4870
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\AttributeDefinitions.fs', 0, 0, 0, 0, 0, 0, 1781
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Attributes.fs', 1, 3, 3, 0, 0, 0, 2041
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Benchmarks.fs', 0, 2, 2, 0, 0, 0, 1292
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Lifecycle.fs', 0, 0, 0, 0, 0, 0, 129
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\MapMsg.fs', 2, 0, 0, 0, 0, 0, 141
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Memo.fs', 2, 0, 0, 0, 1, 0, 660
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\Primitives.fs', 0, 0, 0, 0, 0, 0, 587
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\TestUI.Attributes.fs', 0, 0, 0, 0, 0, 0, 546
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\TestUI.ViewUpdaters.fs', 7, 0, 0, 0, 0, 0, 375
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\TestUI.Widgets.fs', 3, 0, 0, 0, 1, 0, 1862
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\ViewNode.fs', 4, 3, 3, 0, 0, 0, 1134
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\WidgetDefinitions.fs', 3, 0, 0, 0, 0, 0, 179
'../in/flagged_repos/Fabulous/before\e480ea6d6ba1f521018cbccb289b9c1a2f5b78c3\WidgetDiff.fs', 85, 2, 2, 0, 0, 0, 3903
