Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Felicity/before\0cd78e09c85ea87f686dcf2e765f185d8f45840d\DocumentModel.fs', 4, 2, 2, 2, 17, 0, 5895
'../in/flagged_repos/Felicity/before\0cd78e09c85ea87f686dcf2e765f185d8f45840d\ResourceBuilder.fs', 15, 3, 3, 0, 4, 0, 4456
'../in/flagged_repos/Felicity/before\0cd78e09c85ea87f686dcf2e765f185d8f45840d\Serializer.fs', 1, 1, 0, 0, 6, 0, 2820
'../in/flagged_repos/Felicity/before\15262c3eedda74afafa188dcff5c71bcb80bdaab\Operations.fs', 0, 0, 0, 0, 1, 0, 24580
'../in/flagged_repos/Felicity/before\1ee2cf254e4e83389802cba163353b80f9da9f2f\Attribute.fs', 0, 0, 0, 0, 3, 0, 14422
'../in/flagged_repos/Felicity/before\1ee2cf254e4e83389802cba163353b80f9da9f2f\PatchResource.fs', 6, 0, 0, 0, 11, 0, 11671
'../in/flagged_repos/Felicity/before\1ff9ce8c1a3f855a2fc0d9fb21e93744a15d04a3\Attribute.fs', 0, 0, 0, 0, 2, 0, 12584
'../in/flagged_repos/Felicity/before\1ff9ce8c1a3f855a2fc0d9fb21e93744a15d04a3\RequestParser.fs', 46, 0, 0, 0, 1, 0, 7935
'../in/flagged_repos/Felicity/before\2d23859aefe6d653025e135a1f6c58f733eb71ce\ResourceDefinition.fs', 4, 4, 4, 0, 3, 0, 4394
'../in/flagged_repos/Felicity/before\2d23859aefe6d653025e135a1f6c58f733eb71ce\ResourceLocking.fs', 17, 0, 0, 8, 4, 0, 8281
'../in/flagged_repos/Felicity/before\33cf33f67ebdb10fa43191ee9823d907598b80ce\PostCollection.fs', 6, 0, 0, 0, 6, 0, 6074
'../in/flagged_repos/Felicity/before\33cf33f67ebdb10fa43191ee9823d907598b80ce\Serializer.fs', 1, 1, 0, 0, 6, 0, 2779
'../in/flagged_repos/Felicity/before\3738754903d89d79c1f0edb8f4f4a58e402262ad\PatchResource.fs', 5, 0, 0, 0, 11, 0, 10472
'../in/flagged_repos/Felicity/before\416d86a544cf6403331405b6f2e8b85f72e59ab3\IServiceCollectionExtensions.fs', 0, 0, 0, 4, 5, 0, 2369
'../in/flagged_repos/Felicity/before\50fab3c8b9ba378b1d9d5a2707ce08a5013aca1f\ResourceBuilder.fs', 17, 3, 3, 1, 5, 0, 4465
'../in/flagged_repos/Felicity/before\56eaad2167800f4257666760aaf55c19cbd73ff7\ResourceDefinition.fs', 4, 3, 3, 0, 3, 0, 4238
'../in/flagged_repos/Felicity/before\56eaad2167800f4257666760aaf55c19cbd73ff7\ResourceLocking.fs', 16, 0, 0, 8, 1, 0, 7430
'../in/flagged_repos/Felicity/before\9925f84e6b2027ed518c7e6b53adc88ce4a4d7b3\Routing.fs', 0, 3, 3, 0, 0, 0, 2163
'../in/flagged_repos/Felicity/before\acd4f975bec70f867e2753f779d77ad396dea5c3\Query.fs', 0, 0, 0, 0, 2, 0, 13863
'../in/flagged_repos/Felicity/before\acd4f975bec70f867e2753f779d77ad396dea5c3\RequestParser.fs', 58, 0, 0, 0, 3, 0, 9214
'../in/flagged_repos/Felicity/before\bd4d1ab0baa22db4036ce0a2fa685fee7b1e5d7b\Program.fs', 4, 0, 0, 0, 0, 0, 798
'../in/flagged_repos/Felicity/before\d71f0b8ae00ad4038e522baf17fc5c6b70483640\Operations.fs', 0, 0, 0, 0, 1, 0, 24549
'../in/flagged_repos/Felicity/before\d71f0b8ae00ad4038e522baf17fc5c6b70483640\PatchResource.fs', 5, 0, 0, 0, 11, 0, 10434
