Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Feliz.ViewEngine/after\0fcf88a8f379c1a44a939ec791c99ec12b97345d\ViewEngine.fs', 0, 5, 3, 0, 0, 0, 1182
'../in/flagged_repos/Feliz.ViewEngine/after\0fcf88a8f379c1a44a939ec791c99ec12b97345d\ViewEngineTest.fs', 0, 0, 0, 0, 0, 0, 739
'../in/flagged_repos/Feliz.ViewEngine/after\12d69787f18c347830723fae9a15cabf2a14976c\Program.fs', 0, 0, 0, 0, 0, 0, 518
'../in/flagged_repos/Feliz.ViewEngine/after\12d69787f18c347830723fae9a15cabf2a14976c\Styles.fs', 0, 0, 0, 0, 0, 0, 31527
'../in/flagged_repos/Feliz.ViewEngine/after\12d69787f18c347830723fae9a15cabf2a14976c\StyleTypes.fs', 0, 0, 0, 0, 0, 0, 247
'../in/flagged_repos/Feliz.ViewEngine/after\12d69787f18c347830723fae9a15cabf2a14976c\ViewEngineTest.fs', 0, 0, 0, 0, 0, 0, 622
'../in/flagged_repos/Feliz.ViewEngine/after\2c995bc3c4e429dfca3dc8690fe69f921956e45f\ElementBuilders.fs', 0, 0, 0, 0, 0, 0, 4896
'../in/flagged_repos/Feliz.ViewEngine/after\2c995bc3c4e429dfca3dc8690fe69f921956e45f\Interop.fs', 0, 0, 0, 0, 0, 0, 704
'../in/flagged_repos/Feliz.ViewEngine/after\2c995bc3c4e429dfca3dc8690fe69f921956e45f\PropertyBuilders.fs', 0, 0, 0, 0, 0, 0, 100
'../in/flagged_repos/Feliz.ViewEngine/after\579afedf5fa79af0c42f260e77bd8520421de404\Interop.fs', 0, 0, 0, 0, 0, 0, 383
'../in/flagged_repos/Feliz.ViewEngine/after\579afedf5fa79af0c42f260e77bd8520421de404\Styles.fs', 0, 0, 0, 0, 0, 0, 31376
'../in/flagged_repos/Feliz.ViewEngine/after\579afedf5fa79af0c42f260e77bd8520421de404\StyleTypes.fs', 0, 0, 0, 0, 0, 0, 321
'../in/flagged_repos/Feliz.ViewEngine/after\579afedf5fa79af0c42f260e77bd8520421de404\ViewEngine.fs', 0, 5, 3, 0, 0, 0, 1174
'../in/flagged_repos/Feliz.ViewEngine/after\6607fdec76c5b6b7f3126b9a06e850d0b99e358d\Interop.fs', 0, 0, 0, 0, 0, 0, 673
'../in/flagged_repos/Feliz.ViewEngine/after\6607fdec76c5b6b7f3126b9a06e850d0b99e358d\Properties.fs', 0, 0, 0, 0, 0, 0, 15709
'../in/flagged_repos/Feliz.ViewEngine/after\78bdf021bcc2621f91abb4ace1f2b17c02afaafc\Interop.fs', 0, 0, 0, 0, 0, 0, 467
'../in/flagged_repos/Feliz.ViewEngine/after\78bdf021bcc2621f91abb4ace1f2b17c02afaafc\Properties.fs', 0, 1, 0, 0, 0, 0, 14004
'../in/flagged_repos/Feliz.ViewEngine/after\a65fe4787a9f754585544a3226ea2b480ebed659\Styles.fs', 0, 0, 0, 0, 0, 0, 30776
'../in/flagged_repos/Feliz.ViewEngine/after\b21f3b8158b712a490c686bebc1f3bc9cf1fd0dd\Properties.fs', 0, 2, 0, 0, 0, 0, 14437
'../in/flagged_repos/Feliz.ViewEngine/after\f05edf388272ef418c4e7176bbb4f7028c5ce05d\Html.fs', 0, 0, 0, 0, 0, 0, 11901
'../in/flagged_repos/Feliz.ViewEngine/after\f05edf388272ef418c4e7176bbb4f7028c5ce05d\Interop.fs', 0, 0, 0, 0, 0, 0, 709
'../in/flagged_repos/Feliz.ViewEngine/after\f05edf388272ef418c4e7176bbb4f7028c5ce05d\Properties.fs', 0, 0, 0, 0, 0, 0, 15854
'../in/flagged_repos/Feliz.ViewEngine/after\f05edf388272ef418c4e7176bbb4f7028c5ce05d\ViewEngineTest.fs', 0, 0, 0, 0, 0, 0, 1095
