Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Fun.Blazor/after\21af8351e2b91a8b469d2e7d51601622065c839e\Types.fs', 1, 0, 0, 0, 0, 0, 1143
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\AdaptiveComponent.fs', 2, 0, 0, 0, 1, 0, 263
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\AdaptiveDemo.fs', 4, 1, 1, 0, 0, 0, 597
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\AdaptiveTests.fs', 2, 0, 0, 0, 0, 0, 436
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\App.fs', 0, 0, 0, 0, 0, 0, 1203
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\Common.fs', 0, 0, 0, 0, 0, 0, 411
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\ComponentHookDemo.fs', 0, 0, 0, 0, 0, 0, 410
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\DIComponent.fs', 2, 0, 0, 0, 0, 0, 832
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\Dsl.fs', 1, 0, 0, 0, 0, 0, 1017
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\DslAdaptive.fs', 2, 0, 0, 0, 0, 0, 300
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\DslWatch.fs', 0, 0, 0, 0, 0, 0, 776
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\SourceSection.fs', 0, 0, 0, 0, 0, 1, 610
'../in/flagged_repos/Fun.Blazor/after\21d5545a41e9c3f2cd41b38ba4fddb4157e9e451\Types.fs', 1, 0, 0, 0, 0, 0, 1188
'../in/flagged_repos/Fun.Blazor/after\29068b94fae0974323399ae116c4b729c24e4244\CssBuilder.fs', 0, 3, 3, 0, 0, 0, 37684
'../in/flagged_repos/Fun.Blazor/after\29068b94fae0974323399ae116c4b729c24e4244\Program.fs', 0, 0, 0, 0, 0, 1, 642
'../in/flagged_repos/Fun.Blazor/after\3251b867177ccc659b784fa944713afd2915c4c0\CECssDemo.fs', 0, 1, 1, 0, 0, 0, 280
'../in/flagged_repos/Fun.Blazor/after\3251b867177ccc659b784fa944713afd2915c4c0\CssBuilder.fs', 0, 3, 3, 0, 0, 0, 37809
'../in/flagged_repos/Fun.Blazor/after\364bfbd8d7348e82301f198c5b1c3229e36c36e5\Dsl.fs', 0, 0, 0, 0, 1, 0, 371
'../in/flagged_repos/Fun.Blazor/after\364bfbd8d7348e82301f198c5b1c3229e36c36e5\MudBlazor.fs', 0, 0, 0, 0, 0, 0, 86097
'../in/flagged_repos/Fun.Blazor/after\3796cdec8a3d882931f3256a49cb9b103e5c9ded\AdaptiveForm.fs', 7, 3, 2, 0, 1, 0, 1900
'../in/flagged_repos/Fun.Blazor/after\3796cdec8a3d882931f3256a49cb9b103e5c9ded\AdaptiveFormDemo.fs', 0, 0, 0, 0, 0, 0, 1599
'../in/flagged_repos/Fun.Blazor/after\4b5c6244c39a8c9b7092008f760791a30147bd28\AdaptiveForm.fs', 5, 1, 0, 0, 1, 0, 1628
'../in/flagged_repos/Fun.Blazor/after\4e4339924bbd0fc5b85afda42330e9ef860e1e93\DslCE.fs', 0, 0, 0, 0, 0, 0, 33496
'../in/flagged_repos/Fun.Blazor/after\525282584dcbe609cfdc4c1942d5ab88ee311b3e\ReactiveTests.fs', 0, 0, 0, 0, 0, 0, 511
'../in/flagged_repos/Fun.Blazor/after\525282584dcbe609cfdc4c1942d5ab88ee311b3e\StoreComponent.fs', 7, 0, 0, 0, 1, 0, 358
'../in/flagged_repos/Fun.Blazor/after\5cc266a54de379326d7455f2cd96766b8c8da02e\AdaptiveForm.fs', 2, 1, 0, 0, 1, 0, 546
'../in/flagged_repos/Fun.Blazor/after\a57c0dcfda7979cd64b33777365efa7907183637\Program.fs', 0, 0, 0, 0, 0, 1, 598
'../in/flagged_repos/Fun.Blazor/after\acc55d2eed53ce305d8cfb11113a87e62aaa884d\DslCE.fs', 0, 0, 0, 0, 0, 0, 33445
'../in/flagged_repos/Fun.Blazor/after\cb9058fa98c5e098fa12eb57f2d2652fb1561e71\DslReactive.fs', 0, 0, 0, 0, 0, 0, 1403
'../in/flagged_repos/Fun.Blazor/after\cb9058fa98c5e098fa12eb57f2d2652fb1561e71\ReactiveDemo.fs', 0, 0, 0, 0, 0, 0, 445
'../in/flagged_repos/Fun.Blazor/after\cb9058fa98c5e098fa12eb57f2d2652fb1561e71\ReactiveTests.fs', 0, 0, 0, 0, 0, 0, 389
'../in/flagged_repos/Fun.Blazor/after\e03c99f5d583643543c73a0e964ddf9be5106932\AdaptiveDemo.fs', 4, 1, 1, 0, 0, 0, 957
'../in/flagged_repos/Fun.Blazor/after\ff9c4e3e8b7c7a8fe217995c3c30e831e49906d2\App.fs', 0, 0, 0, 0, 0, 0, 1254
