Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Nu/after\0ecfb99220df65e0c67d5261cd7e884d6426bec7\Name.fs', 2, 1, 1, 2, 1, 0, 1472
'../in/flagged_repos/Nu/after\0ecfb99220df65e0c67d5261cd7e884d6426bec7\Symbol.fs', 3, 1, 0, 5, 2, 0, 3177
'../in/flagged_repos/Nu/after\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldGame.fs', 0, 0, 0, 0, 0, 1, 1617
'../in/flagged_repos/Nu/after\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldGroup.fs', 0, 0, 0, 0, 3, 1, 2369
'../in/flagged_repos/Nu/after\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldModules.fs', 1, 0, 0, 0, 15, 0, 7091
'../in/flagged_repos/Nu/after\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldScreen.fs', 0, 0, 0, 0, 1, 1, 2629
'../in/flagged_repos/Nu/after\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldTypes.fs', 0, 0, 0, 0, 0, 0, 4981
'../in/flagged_repos/Nu/after\29775c8490e97589c6ba27cbf1eb18f93f12919d\BlazeDispatchers.fs', 0, 1, 1, 0, 0, 0, 3366
'../in/flagged_repos/Nu/after\29775c8490e97589c6ba27cbf1eb18f93f12919d\Constants.fs', 0, 0, 0, 0, 0, 0, 818
'../in/flagged_repos/Nu/after\29775c8490e97589c6ba27cbf1eb18f93f12919d\Elmario.fs', 0, 0, 0, 0, 0, 0, 661
'../in/flagged_repos/Nu/after\29775c8490e97589c6ba27cbf1eb18f93f12919d\MyGameplay.fs', 0, 0, 0, 0, 0, 0, 694
'../in/flagged_repos/Nu/after\29775c8490e97589c6ba27cbf1eb18f93f12919d\WorldEntity.fs', 0, 0, 0, 1, 3, 1, 4974
'../in/flagged_repos/Nu/after\29775c8490e97589c6ba27cbf1eb18f93f12919d\WorldModuleEntity.fs', 42, 0, 0, 6, 13, 1, 15826
'../in/flagged_repos/Nu/after\3eef4df9d4eb04dd7127aa07ef5d030c06f05c71\CharacterFacets.fs', 15, 0, 0, 0, 0, 0, 2322
'../in/flagged_repos/Nu/after\3eef4df9d4eb04dd7127aa07ef5d030c06f05c71\WorldPrimitives.fs', 0, 1, 1, 0, 21, 0, 7568
'../in/flagged_repos/Nu/after\409427f714255642f431085926d1ce7f8ee2c23c\Stream.fs', 0, 0, 0, 0, 0, 0, 6687
'../in/flagged_repos/Nu/after\4db8612ab7e530abfb7802fd25fc7ee29b654a13\InfinityFieldMap.fs', 0, 4, 4, 0, 0, 0, 2244
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\Dictionary.fs', 9, 3, 3, 0, 0, 0, 523
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\EventWorld.fs', 3, 1, 1, 0, 3, 0, 5084
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\HashSet.fs', 0, 1, 1, 0, 0, 0, 146
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\List.fs', 0, 1, 1, 0, 0, 0, 2742
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\Reflection.fs', 0, 5, 5, 0, 12, 0, 4574
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\Scripting.fs', 16, 2, 2, 0, 2, 0, 12223
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\SpatialTree.fs', 0, 5, 5, 2, 2, 0, 1433
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\TMap.fs', 8, 0, 0, 0, 0, 0, 1736
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\TSet.fs', 8, 0, 0, 0, 0, 0, 1432
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldDispatchers.fs', 0, 0, 0, 1, 0, 0, 17854
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldInit.fs', 8, 0, 0, 0, 0, 0, 836
'../in/flagged_repos/Nu/after\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldModuleGame.fs', 2, 0, 0, 0, 14, 0, 4384
