Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Nu/before\0ecfb99220df65e0c67d5261cd7e884d6426bec7\Name.fs', 2, 1, 1, 2, 1, 0, 1473
'../in/flagged_repos/Nu/before\0ecfb99220df65e0c67d5261cd7e884d6426bec7\Symbol.fs', 3, 1, 0, 5, 2, 0, 3163
'../in/flagged_repos/Nu/before\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldGame.fs', 0, 0, 0, 0, 0, 1, 1677
'../in/flagged_repos/Nu/before\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldGroup.fs', 0, 0, 0, 0, 3, 1, 2439
'../in/flagged_repos/Nu/before\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldModules.fs', 1, 0, 0, 0, 15, 0, 7127
'../in/flagged_repos/Nu/before\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldScreen.fs', 0, 0, 0, 0, 1, 1, 2699
'../in/flagged_repos/Nu/before\0ecfb99220df65e0c67d5261cd7e884d6426bec7\WorldTypes.fs', 0, 0, 0, 0, 0, 0, 5048
'../in/flagged_repos/Nu/before\29775c8490e97589c6ba27cbf1eb18f93f12919d\BlazeDispatchers.fs', 0, 1, 1, 0, 0, 0, 3366
'../in/flagged_repos/Nu/before\29775c8490e97589c6ba27cbf1eb18f93f12919d\Constants.fs', 0, 0, 0, 0, 0, 0, 820
'../in/flagged_repos/Nu/before\29775c8490e97589c6ba27cbf1eb18f93f12919d\Elmario.fs', 0, 0, 0, 0, 0, 0, 661
'../in/flagged_repos/Nu/before\29775c8490e97589c6ba27cbf1eb18f93f12919d\MyGameplay.fs', 0, 0, 0, 0, 0, 0, 694
'../in/flagged_repos/Nu/before\29775c8490e97589c6ba27cbf1eb18f93f12919d\WorldEntity.fs', 0, 0, 0, 1, 3, 1, 5030
'../in/flagged_repos/Nu/before\29775c8490e97589c6ba27cbf1eb18f93f12919d\WorldModuleEntity.fs', 42, 0, 0, 6, 13, 1, 15768
'../in/flagged_repos/Nu/before\3eef4df9d4eb04dd7127aa07ef5d030c06f05c71\CharacterFacets.fs', 15, 0, 0, 0, 0, 0, 2322
'../in/flagged_repos/Nu/before\3eef4df9d4eb04dd7127aa07ef5d030c06f05c71\WorldPrimitives.fs', 0, 1, 1, 0, 21, 0, 7568
'../in/flagged_repos/Nu/before\409427f714255642f431085926d1ce7f8ee2c23c\Stream.fs', 0, 0, 0, 0, 0, 0, 6691
'../in/flagged_repos/Nu/before\4db8612ab7e530abfb7802fd25fc7ee29b654a13\InfinityFieldMap.fs', 0, 4, 4, 0, 0, 0, 2244
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\Dictionary.fs', 9, 3, 3, 0, 0, 0, 524
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\EventWorld.fs', 3, 1, 1, 0, 3, 0, 5086
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\HashSet.fs', 0, 1, 1, 0, 0, 0, 147
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\List.fs', 0, 1, 1, 0, 0, 0, 2745
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\Reflection.fs', 0, 5, 5, 0, 12, 0, 4576
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\Scripting.fs', 16, 2, 2, 0, 2, 0, 12224
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\SpatialTree.fs', 0, 5, 5, 2, 2, 0, 1425
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\TMap.fs', 8, 0, 0, 0, 0, 0, 1721
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\TSet.fs', 8, 0, 0, 0, 0, 0, 1417
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldDispatchers.fs', 0, 0, 0, 1, 0, 0, 17832
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldInit.fs', 8, 0, 0, 0, 0, 0, 837
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldModuleGame.fs', 2, 0, 0, 0, 14, 0, 4385
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldModuleLayer.fs', 2, 0, 0, 0, 21, 0, 5512
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldModuleScreen.fs', 2, 0, 0, 0, 19, 0, 5802
'../in/flagged_repos/Nu/before\53a9ce509d90cc37e8eb918ffce023525ac443fc\WorldTypes.fs', 29, 4, 0, 3, 0, 0, 9910
'../in/flagged_repos/Nu/before\73f777cfa9bc24f56b8b000c2cbfccaa103bbbee\WorldModule2.fs', 2, 2, 2, 0, 6, 1, 13450
'../in/flagged_repos/Nu/before\75c12f0a102f99e204d17cc2cf271429750dddd4\Tmap.fs', 7, 0, 0, 0, 0, 0, 1656
'../in/flagged_repos/Nu/before\75c12f0a102f99e204d17cc2cf271429750dddd4\Tset.fs', 7, 0, 0, 0, 0, 0, 1357
'../in/flagged_repos/Nu/before\7695a51c26694516abe7bc3204274b24b6e281c2\WorldDeclarative.fs', 12, 1, 1, 0, 1, 0, 4725
'../in/flagged_repos/Nu/before\80ac6e60699cb6494b208724842e214e4d6eef74\Program.fs', 0, 3, 3, 0, 0, 0, 3447
'../in/flagged_repos/Nu/before\8128f6682a65c3eb252649b98b4ab4aa1f9c02ec\WorldModuleEntity.fs', 69, 0, 0, 6, 17, 1, 18161
'../in/flagged_repos/Nu/before\92974e7424936cc9a312e92dee4eb96e46fadc5a\OmniFieldDispatcher.fs', 0, 0, 0, 0, 0, 0, 18370
'../in/flagged_repos/Nu/before\a5bdb83939558c2691ff621c24e3431df8fbd61c\Operators.fs', 0, 0, 0, 0, 1, 1, 1547
'../in/flagged_repos/Nu/before\aa91158bbbd1c6df77a1fa2982183801256217eb\Program.fs', 46, 3, 3, 5, 4, 1, 8319
'../in/flagged_repos/Nu/before\b67b5c4445aedd783afe61302dc166e609b74136\WorldModuleEntity.fs', 69, 0, 0, 6, 17, 1, 18207
'../in/flagged_repos/Nu/before\b905aee00942e8aa05747389cfef288653e54123\WorldDispatchers.fs', 0, 0, 0, 15, 0, 0, 26225
'../in/flagged_repos/Nu/before\b92e2233e1a70426fa2f639b99127cfaff189197\Reflection.fs', 4, 3, 3, 0, 12, 0, 5272
'../in/flagged_repos/Nu/before\b92e2233e1a70426fa2f639b99127cfaff189197\WorldScripting.fs', 3, 0, 0, 173, 0, 0, 16896
'../in/flagged_repos/Nu/before\b982b2b65e9995611e5daf47e2b7e51266857d7b\WorldModuleEntity.fs', 69, 0, 0, 6, 17, 1, 18041
'../in/flagged_repos/Nu/before\bff148667022034df404f6492d6115e46f73f100\WorldDispatchers.fs', 63, 0, 0, 0, 1, 0, 13569
'../in/flagged_repos/Nu/before\c9bbad00e9259685c9cb0ab0ad2ce601b2c035ec\Program.fs', 0, 3, 3, 0, 0, 0, 888
'../in/flagged_repos/Nu/before\c9bbad00e9259685c9cb0ab0ad2ce601b2c035ec\WorldModule.fs', 25, 1, 1, 1, 0, 0, 6448
'../in/flagged_repos/Nu/before\ceccd36c09efb88711f39756f6759f61fb3a3108\Stream.fs', 0, 0, 0, 0, 0, 0, 6687
'../in/flagged_repos/Nu/before\ceccd36c09efb88711f39756f6759f61fb3a3108\WorldStream.fs', 0, 0, 0, 0, 0, 0, 519
'../in/flagged_repos/Nu/before\ceccd36c09efb88711f39756f6759f61fb3a3108\WorldTests.fs', 0, 0, 0, 0, 0, 1, 1111
'../in/flagged_repos/Nu/before\e01da7891e72c26bfe8925df54a29ab9bfe36f9a\Gaia.fs', 147, 16, 16, 8, 20, 1, 20403
'../in/flagged_repos/Nu/before\e66cb31be1fb39daa9ac4e7c7804535321723a72\OmniFieldDispatcher.fs', 0, 0, 0, 0, 0, 1, 12129
'../in/flagged_repos/Nu/before\e66cb31be1fb39daa9ac4e7c7804535321723a72\WorldTypes.fs', 34, 4, 0, 3, 8, 0, 11301
'../in/flagged_repos/Nu/before\efe3ab53274713104a8fcffffb9ac4e902149be4\OmniBattleModel.fs', 0, 0, 0, 0, 1, 0, 2038
'../in/flagged_repos/Nu/before\efe3ab53274713104a8fcffffb9ac4e902149be4\OmniData.fs', 0, 0, 0, 0, 0, 1, 2988
'../in/flagged_repos/Nu/before\efe3ab53274713104a8fcffffb9ac4e902149be4\OmniFieldModel.fs', 0, 0, 0, 0, 0, 0, 3113
'../in/flagged_repos/Nu/before\efe3ab53274713104a8fcffffb9ac4e902149be4\OmniGame.fs', 0, 0, 0, 0, 0, 0, 1413
'../in/flagged_repos/Nu/before\efe3ab53274713104a8fcffffb9ac4e902149be4\OmniState.fs', 0, 0, 0, 0, 0, 0, 4040
'../in/flagged_repos/Nu/before\efe3ab53274713104a8fcffffb9ac4e902149be4\WorldModule.fs', 27, 2, 2, 1, 0, 0, 6148
'../in/flagged_repos/Nu/before\efe3ab53274713104a8fcffffb9ac4e902149be4\WorldModuleEntity.fs', 50, 0, 0, 6, 14, 1, 17102
'../in/flagged_repos/Nu/before\ff15f5e74ea621bd6a271717309b9fc01e2d2596\Audio.fs', 12, 6, 6, 0, 1, 1, 3078
'../in/flagged_repos/Nu/before\ff15f5e74ea621bd6a271717309b9fc01e2d2596\Ecs.fs', 87, 65, 63, 1, 24, 1, 30839
