Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/PRo3D/before\7874ea4639dff6a0f3581cb01db04677e652382f\Model.fs', 0, 0, 0, 0, 0, 0, 134
'../in/flagged_repos/PRo3D/before\7874ea4639dff6a0f3581cb01db04677e652382f\Scene.fs', 0, 0, 0, 0, 2, 2, 2586
'../in/flagged_repos/PRo3D/before\7874ea4639dff6a0f3581cb01db04677e652382f\Utilities.fs', 5, 0, 0, 2, 2, 1, 1739
'../in/flagged_repos/PRo3D/before\7874ea4639dff6a0f3581cb01db04677e652382f\Viewer.fs', 8, 0, 0, 0, 3, 1, 15355
'../in/flagged_repos/PRo3D/before\7874ea4639dff6a0f3581cb01db04677e652382f\ViewerGUI.fs', 0, 2, 2, 0, 0, 2, 5721
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\ComparisonApp.fs', 7, 2, 2, 0, 0, 1, 4584
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\Program.fs', 6, 2, 2, 1, 1, 1, 2329
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\Shaders.fs', 0, 0, 0, 0, 0, 0, 1195
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\ShadingApp.fs', 0, 0, 0, 0, 0, 0, 2256
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\Snapshot-Model.fs', 0, 1, 1, 0, 0, 0, 3078
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\Snapshot-Utils.fs', 0, 3, 3, 1, 0, 1, 3306
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\SnapshotAnimation.fs', 0, 0, 0, 0, 6, 0, 958
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\SnapshotApp.fs', 0, 2, 2, 0, 0, 0, 1907
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\SnapshotGenerator.fs', 0, 1, 1, 0, 0, 0, 1175
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\SnapshotSettingsApp.fs', 0, 0, 0, 0, 0, 0, 461
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\Surface.Sg.fs', 2, 1, 1, 1, 3, 1, 2380
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\Viewer-Model.fs', 0, 0, 0, 0, 1, 0, 4548
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\Viewer-Utils.fs', 2, 2, 2, 1, 0, 1, 5581
'../in/flagged_repos/PRo3D/before\d928e88db97fad59d88c1cadd548a223e39c39cd\Viewer.fs', 8, 2, 2, 0, 3, 1, 16608
