Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\AddPackageSpecs.fs', 0, 0, 0, 0, 0, 0, 2647
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 94
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\BasicScenarioSpecs.fs', 0, 0, 0, 6, 3, 1, 1679
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\CasingSpecs.fs', 0, 0, 0, 0, 0, 0, 557
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\ConflictGraphSpecs.fs', 0, 0, 0, 0, 3, 0, 1382
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\ConflictSourcesSpecs.fs', 0, 0, 0, 0, 2, 0, 379
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\DependencyChangesSpecs.fs', 0, 0, 0, 0, 0, 0, 1911
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\GenerateAuthModeSpecs.fs', 0, 0, 0, 0, 0, 0, 141
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\GenerateWithOptionsSpecs.fs', 0, 0, 0, 0, 0, 0, 847
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\GeneratorSpecs.fs', 0, 0, 0, 0, 1, 0, 1837
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\GeneratorWithMutlipleSourcesSpecs.fs', 0, 0, 0, 0, 0, 0, 293
'../in/flagged_repos/Paket/after\078ef0125a448e593cb50136a98e5c5d6310f243\GlobalOptimisticStrategySpecs.fs', 0, 0, 0, 0, 0, 0, 1354
