Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/XSVim/before\04872b5ee08add9de8f8bf74d48b09eece6992a9\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\04872b5ee08add9de8f8bf74d48b09eece6992a9\TreeViewPads.fs', 8, 1, 1, 0, 1, 0, 1093
'../in/flagged_repos/XSVim/before\0a4a33f107eca7926aad913e40ccaeae19d3dae8\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\0a4a33f107eca7926aad913e40ccaeae19d3dae8\DeleteTests.fs', 0, 0, 0, 0, 0, 0, 462
'../in/flagged_repos/XSVim/before\0a4a33f107eca7926aad913e40ccaeae19d3dae8\XSVim.fs', 34, 1, 1, 1, 2, 0, 18377
'../in/flagged_repos/XSVim/before\1e2660038af6727ce9cdc1bf8b8973f04013c3e5\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 90
'../in/flagged_repos/XSVim/before\1e2660038af6727ce9cdc1bf8b8973f04013c3e5\XSVim.fs', 20, 1, 1, 0, 0, 0, 8339
'../in/flagged_repos/XSVim/before\27c9c02573175983d22ad725066d2e134d3734e5\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\27c9c02573175983d22ad725066d2e134d3734e5\MiscTests.fs', 0, 0, 0, 0, 0, 0, 880
'../in/flagged_repos/XSVim/before\27c9c02573175983d22ad725066d2e134d3734e5\TestHelpers.fs', 5, 0, 0, 5, 2, 0, 1655
'../in/flagged_repos/XSVim/before\27c9c02573175983d22ad725066d2e134d3734e5\XSVim.fs', 29, 2, 2, 1, 2, 0, 21410
'../in/flagged_repos/XSVim/before\2f2dab5fd32061a44d914b7bfc6648b670150864\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\2f2dab5fd32061a44d914b7bfc6648b670150864\DeleteTests.fs', 0, 0, 0, 0, 0, 0, 572
'../in/flagged_repos/XSVim/before\2f2dab5fd32061a44d914b7bfc6648b670150864\XSVim.fs', 29, 2, 2, 1, 2, 0, 21134
'../in/flagged_repos/XSVim/before\41b7c9f384bf31806fbbdb48de7a6b7e8e60ea73\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\41b7c9f384bf31806fbbdb48de7a6b7e8e60ea73\ExMode.fs', 0, 0, 0, 0, 0, 0, 1431
'../in/flagged_repos/XSVim/before\43d8a10ebff9664e72c43262f86f6127ee691fbd\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\43d8a10ebff9664e72c43262f86f6127ee691fbd\ChangeTests.fs', 0, 0, 0, 0, 0, 0, 258
'../in/flagged_repos/XSVim/before\43d8a10ebff9664e72c43262f86f6127ee691fbd\XSVim.fs', 31, 1, 1, 1, 2, 0, 17324
'../in/flagged_repos/XSVim/before\449dbbba9512ec41963af90b86320c155db2decb\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\449dbbba9512ec41963af90b86320c155db2decb\TreeViewPads.fs', 8, 1, 1, 0, 1, 0, 1090
'../in/flagged_repos/XSVim/before\449dbbba9512ec41963af90b86320c155db2decb\XSVim.fs', 30, 2, 2, 1, 2, 0, 21685
'../in/flagged_repos/XSVim/before\553899fa2f0590b30871301f179c95361b033df9\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\553899fa2f0590b30871301f179c95361b033df9\DeleteTests.fs', 0, 0, 0, 0, 0, 0, 494
'../in/flagged_repos/XSVim/before\553899fa2f0590b30871301f179c95361b033df9\TextObjectSelectionTests.fs', 0, 0, 0, 0, 0, 0, 483
'../in/flagged_repos/XSVim/before\553899fa2f0590b30871301f179c95361b033df9\XSVim.fs', 34, 1, 1, 1, 2, 0, 18905
'../in/flagged_repos/XSVim/before\5d319d68caff327640be0d993da08bd2c9e1d7d0\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\5d319d68caff327640be0d993da08bd2c9e1d7d0\MiscTests.fs', 0, 0, 0, 0, 0, 0, 801
'../in/flagged_repos/XSVim/before\5d319d68caff327640be0d993da08bd2c9e1d7d0\XSVim.fs', 40, 1, 1, 1, 2, 0, 20455
'../in/flagged_repos/XSVim/before\5f8487cfd28b6145afaed08ee17fb33e4f261878\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\5f8487cfd28b6145afaed08ee17fb33e4f261878\XSVim.fs', 38, 1, 1, 1, 2, 0, 20296
'../in/flagged_repos/XSVim/before\63b1a739f69b49265117208530a2618d2ccce827\Addin.fs', 19, 3, 3, 0, 1, 0, 2081
'../in/flagged_repos/XSVim/before\63b1a739f69b49265117208530a2618d2ccce827\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\6f0c1017a355239c04749e3026ff9e96ff0be31b\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\6f0c1017a355239c04749e3026ff9e96ff0be31b\Movement.fs', 0, 0, 0, 0, 0, 0, 738
'../in/flagged_repos/XSVim/before\6f0c1017a355239c04749e3026ff9e96ff0be31b\XSVim.fs', 32, 1, 1, 1, 2, 0, 17207
'../in/flagged_repos/XSVim/before\7a4585fe6484bca7e23723441b4059e0686d363e\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\7a4585fe6484bca7e23723441b4059e0686d363e\DeleteTests.fs', 0, 0, 0, 0, 0, 0, 632
'../in/flagged_repos/XSVim/before\7a4585fe6484bca7e23723441b4059e0686d363e\XSVim.fs', 30, 2, 2, 1, 2, 0, 21681
'../in/flagged_repos/XSVim/before\7ae29cfa92c81f2f15ae2e204ad2b3fbeb7efd2a\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\7ae29cfa92c81f2f15ae2e204ad2b3fbeb7efd2a\DeleteTests.fs', 0, 0, 0, 0, 0, 0, 442
'../in/flagged_repos/XSVim/before\7ae29cfa92c81f2f15ae2e204ad2b3fbeb7efd2a\XSVim.fs', 32, 1, 1, 1, 2, 0, 17850
'../in/flagged_repos/XSVim/before\7f097024eb968ff1011dd8532d9b7a6bb0e28c5e\Addin.fs', 19, 3, 3, 0, 1, 0, 2091
'../in/flagged_repos/XSVim/before\7f097024eb968ff1011dd8532d9b7a6bb0e28c5e\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\84219f2666b68ce1730e7bc56804e4a07b8451f3\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\84219f2666b68ce1730e7bc56804e4a07b8451f3\XSVim.fs', 34, 1, 1, 1, 2, 0, 18103
'../in/flagged_repos/XSVim/before\952aa4b67d0e7f9cf74fba5946a8da8fcac4c6db\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\952aa4b67d0e7f9cf74fba5946a8da8fcac4c6db\MiscTests.fs', 0, 0, 0, 0, 0, 0, 679
'../in/flagged_repos/XSVim/before\952aa4b67d0e7f9cf74fba5946a8da8fcac4c6db\Movement.fs', 0, 0, 0, 0, 0, 0, 718
'../in/flagged_repos/XSVim/before\952aa4b67d0e7f9cf74fba5946a8da8fcac4c6db\XSVim.fs', 31, 1, 1, 1, 2, 0, 17411
'../in/flagged_repos/XSVim/before\99d82ca63e9545642ee3cf05c4b934766d94cf51\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\99d82ca63e9545642ee3cf05c4b934766d94cf51\MiscTests.fs', 0, 0, 0, 0, 0, 0, 719
'../in/flagged_repos/XSVim/before\99d82ca63e9545642ee3cf05c4b934766d94cf51\XSVim.fs', 34, 1, 1, 1, 2, 0, 18403
'../in/flagged_repos/XSVim/before\9c438b5182e960a9cd32b9cae09332ccc64f55b4\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\9c438b5182e960a9cd32b9cae09332ccc64f55b4\SettingsPanel.fs', 4, 1, 0, 0, 0, 0, 493
'../in/flagged_repos/XSVim/before\a00cc0022a95ce11f3745dc5c0880e380d33e3a0\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\a00cc0022a95ce11f3745dc5c0880e380d33e3a0\Types.fs', 0, 0, 0, 0, 0, 0, 601
'../in/flagged_repos/XSVim/before\a00cc0022a95ce11f3745dc5c0880e380d33e3a0\VisualTests.fs', 0, 0, 0, 0, 0, 0, 497
'../in/flagged_repos/XSVim/before\a00cc0022a95ce11f3745dc5c0880e380d33e3a0\XSVim.fs', 28, 1, 1, 0, 0, 0, 13728
'../in/flagged_repos/XSVim/before\a00cc0022a95ce11f3745dc5c0880e380d33e3a0\YankAndPut.fs', 0, 0, 0, 0, 0, 0, 272
'../in/flagged_repos/XSVim/before\da492a7cb4cb5692fe231c0f3ac0ba3c877772e8\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\da492a7cb4cb5692fe231c0f3ac0ba3c877772e8\ChangeTests.fs', 0, 0, 0, 0, 0, 0, 178
'../in/flagged_repos/XSVim/before\da492a7cb4cb5692fe231c0f3ac0ba3c877772e8\XSVim.fs', 27, 1, 1, 0, 0, 0, 12829
'../in/flagged_repos/XSVim/before\efc95793ae0ea63a41ab27dd38b66d0e396174cc\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\efc95793ae0ea63a41ab27dd38b66d0e396174cc\ChangeTests.fs', 0, 0, 0, 0, 0, 0, 302
'../in/flagged_repos/XSVim/before\efc95793ae0ea63a41ab27dd38b66d0e396174cc\DeleteTests.fs', 0, 0, 0, 0, 0, 0, 386
'../in/flagged_repos/XSVim/before\efc95793ae0ea63a41ab27dd38b66d0e396174cc\XSVim.fs', 32, 1, 1, 1, 2, 0, 17231
'../in/flagged_repos/XSVim/before\f61c92b3f418dfac5f197c3c6fbd75ba55176943\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\f61c92b3f418dfac5f197c3c6fbd75ba55176943\Movement.fs', 0, 0, 0, 0, 0, 0, 818
'../in/flagged_repos/XSVim/before\f61c92b3f418dfac5f197c3c6fbd75ba55176943\XSVim.fs', 34, 1, 1, 1, 2, 0, 18103
'../in/flagged_repos/XSVim/before\f7619b62403e631f86f161efada1003fccc36000\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\f7619b62403e631f86f161efada1003fccc36000\MiscTests.fs', 0, 0, 0, 0, 0, 0, 220
'../in/flagged_repos/XSVim/before\f7619b62403e631f86f161efada1003fccc36000\XSVim.fs', 17, 0, 0, 0, 0, 0, 10182
'../in/flagged_repos/XSVim/before\ff205735d676d6e9758f7efe20fed8b898067ba9\AddinInfo.fs', 0, 0, 0, 0, 0, 0, 125
'../in/flagged_repos/XSVim/before\ff205735d676d6e9758f7efe20fed8b898067ba9\ChangeTests.fs', 0, 0, 0, 0, 0, 0, 238
'../in/flagged_repos/XSVim/before\ff205735d676d6e9758f7efe20fed8b898067ba9\XSVim.fs', 31, 1, 1, 1, 2, 0, 17328
'../in/flagged_repos/XSVim/before\ff69ad008421540d88a739843f1d1836bdf24dd8\AssemblyInfo.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/XSVim/before\ff69ad008421540d88a739843f1d1836bdf24dd8\DeleteTests.fs', 0, 0, 0, 0, 0, 0, 612
'../in/flagged_repos/XSVim/before\ff69ad008421540d88a739843f1d1836bdf24dd8\XSVim.fs', 29, 2, 2, 1, 2, 0, 21256
