Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/core/before\019fe7cf0f5850ab634a8bd7a77e8db0940227a5\Interop.fs', 0, 0, 0, 0, 0, 0, 1647
'../in/flagged_repos/core/before\020f550bd81754aa6153e971ca8b1096ddfc9b1f\Program.fs', 30, 2, 4, 3, 8, 1, 3283
'../in/flagged_repos/core/before\062fea31f7eba0b80719df139fe88a319266ca8d\Continuation.fs', 20, 4, 5, 0, 5, 0, 4786
'../in/flagged_repos/core/before\062fea31f7eba0b80719df139fe88a319266ca8d\JavaScriptWriter.fs', 18, 2, 2, 0, 7, 0, 5498
'../in/flagged_repos/core/before\0f53136665e7ff4cee15ed1ce2327a984a2bb377\HttpModule.fs', 4, 4, 4, 2, 1, 1, 1919
'../in/flagged_repos/core/before\1aca1b9771671b89595627a8d4eb8dc188c86ec9\Async.fs', 6, 0, 0, 2, 3, 0, 1873
'../in/flagged_repos/core/before\1f535fed99983181e9df123d5d1769e949209ebb\Program.fs', 19, 3, 5, 3, 11, 1, 2418
'../in/flagged_repos/core/before\2284af504da9c3da2d73c6ce2a1b230a8638f5d3\BalancedTree.fs', 9, 2, 2, 1, 0, 0, 2016
'../in/flagged_repos/core/before\2284af504da9c3da2d73c6ce2a1b230a8638f5d3\Map.fs', 0, 0, 0, 1, 0, 0, 2331
'../in/flagged_repos/core/before\2284af504da9c3da2d73c6ce2a1b230a8638f5d3\MapModule.fs', 0, 0, 0, 1, 0, 0, 1911
'../in/flagged_repos/core/before\2284af504da9c3da2d73c6ce2a1b230a8638f5d3\Remoting.fs', 8, 3, 0, 18, 0, 0, 4715
'../in/flagged_repos/core/before\2284af504da9c3da2d73c6ce2a1b230a8638f5d3\Set.fs', 0, 0, 0, 0, 0, 0, 773
'../in/flagged_repos/core/before\2284af504da9c3da2d73c6ce2a1b230a8638f5d3\SetModule.fs', 0, 0, 0, 0, 0, 0, 1268
'../in/flagged_repos/core/before\294f8fc921a070337afcbab9d1d11243058c81dc\DateTime.fs', 0, 0, 0, 1, 0, 0, 1738
'../in/flagged_repos/core/before\29dc1983557b647920ad74059823e8fab05d00b6\Client.fs', 0, 0, 0, 0, 0, 0, 51
'../in/flagged_repos/core/before\29dc1983557b647920ad74059823e8fab05d00b6\ReflectionLayer.fs', 0, 12, 24, 9, 8, 1, 11385
'../in/flagged_repos/core/before\29dc1983557b647920ad74059823e8fab05d00b6\Skin.fs', 0, 0, 0, 0, 0, 0, 571
'../in/flagged_repos/core/before\2ce2f55d576cd272ec4c9bf37d57de2e9195ef20\Router.fs', 12, 13, 13, 0, 0, 0, 2303
'../in/flagged_repos/core/before\3504dcc3f90842a92b583bb4d4c439aa65a39173\CompilationHelpers.fs', 55, 9, 12, 0, 6, 0, 11779
'../in/flagged_repos/core/before\3504dcc3f90842a92b583bb4d4c439aa65a39173\Regression.fs', 16, 18, 12, 23, 6, 0, 4946
'../in/flagged_repos/core/before\35fe5846793f8e4efbff4a3fdef4eac86fc5ba0c\Compilation.fs', 17, 45, 45, 9, 21, 0, 16971
'../in/flagged_repos/core/before\35fe5846793f8e4efbff4a3fdef4eac86fc5ba0c\CompilationHelpers.fs', 56, 9, 12, 0, 6, 0, 13080
'../in/flagged_repos/core/before\35fe5846793f8e4efbff4a3fdef4eac86fc5ba0c\Regression.fs', 28, 19, 12, 26, 6, 0, 7551
'../in/flagged_repos/core/before\3f8689a24dded4695cba8d6a79d62f1bda22d6cc\Definition.fs', 0, 1, 0, 0, 0, 0, 7904
'../in/flagged_repos/core/before\409d451de70785f84f10eba8a013f717c94a45b5\RouterInfer.Client.fs', 7, 1, 1, 20, 8, 0, 5755
'../in/flagged_repos/core/before\409d451de70785f84f10eba8a013f717c94a45b5\Sitelet.fs', 0, 0, 0, 1, 6, 0, 3436
'../in/flagged_repos/core/before\4147b3d436ed52c8be6b202822f32049f22555e4\Regression.fs', 14, 18, 12, 23, 5, 0, 3882
'../in/flagged_repos/core/before\48276f53a6413c61ae5205e9f7e8f3f2e6b41621\Json.fs', 6, 10, 16, 12, 72, 8, 17914
'../in/flagged_repos/core/before\48276f53a6413c61ae5205e9f7e8f3f2e6b41621\Regression.fs', 9, 9, 7, 21, 5, 0, 2432
'../in/flagged_repos/core/before\4891566228b40b4f5c579a04af99442fb1e5d86c\CommandTools.fs', 11, 5, 5, 5, 4, 1, 3833
'../in/flagged_repos/core/before\4891566228b40b4f5c579a04af99442fb1e5d86c\Program.fs', 25, 2, 4, 4, 5, 1, 3264
'../in/flagged_repos/core/before\5240d0f32f366f8a14428739c21e60104468d817\Program.fs', 30, 2, 4, 3, 8, 1, 3025
'../in/flagged_repos/core/before\568edc5bd5751eb2410fdd98ed7493c921228a00\ArgCurrying.fs', 9, 5, 5, 0, 2, 0, 3109
'../in/flagged_repos/core/before\568edc5bd5751eb2410fdd98ed7493c921228a00\Regression.fs', 24, 18, 12, 25, 6, 0, 6664
'../in/flagged_repos/core/before\58dc5210df1bc62d82e2328ffce6dddbc1959e90\WebSharperTask.fs', 17, 7, 6, 8, 4, 1, 4096
'../in/flagged_repos/core/before\5c2d30a44fcc1b393a2591216d2098d5d642933d\InferredRouter.fs', 45, 5, 7, 16, 1, 0, 9517
'../in/flagged_repos/core/before\5c2d30a44fcc1b393a2591216d2098d5d642933d\Routers.fs', 3, 1, 1, 2, 0, 0, 2625
'../in/flagged_repos/core/before\5dee70ce49f4a95320be846548151f2f08ed13fa\Bundle.fs', 8, 2, 2, 2, 3, 1, 2762
'../in/flagged_repos/core/before\63e58989d08da2426596edffc4123c2e6718fe86\ErrorPrinting.fs', 0, 3, 3, 0, 0, 0, 760
'../in/flagged_repos/core/before\63e58989d08da2426596edffc4123c2e6718fe86\Main.fs', 0, 0, 0, 0, 1, 1, 535
'../in/flagged_repos/core/before\63e58989d08da2426596edffc4123c2e6718fe86\Program.fs', 26, 2, 4, 3, 7, 1, 2683
'../in/flagged_repos/core/before\6634534edb216f1acdbec595c8d385dd429c7a06\FrontEnd.fs', 4, 5, 5, 2, 2, 0, 2782
'../in/flagged_repos/core/before\6634534edb216f1acdbec595c8d385dd429c7a06\Program.fs', 30, 2, 4, 3, 8, 1, 3295
'../in/flagged_repos/core/before\6ee22c698dfb860ddd07428bf49ade12f3670273\Breaker.fs', 6, 7, 9, 0, 8, 0, 11170
'../in/flagged_repos/core/before\6ee22c698dfb860ddd07428bf49ade12f3670273\CompilationHelpers.fs', 55, 11, 14, 0, 6, 0, 11470
'../in/flagged_repos/core/before\6ee22c698dfb860ddd07428bf49ade12f3670273\Regression.fs', 16, 18, 12, 23, 5, 0, 4479
'../in/flagged_repos/core/before\6ee22c698dfb860ddd07428bf49ade12f3670273\Translator.fs', 21, 4, 4, 0, 18, 0, 14803
'../in/flagged_repos/core/before\70d27a119717f25643e9075fb9459233b3943990\ArrayModule.fs', 46, 36, 36, 12, 9, 0, 7775
'../in/flagged_repos/core/before\70d27a119717f25643e9075fb9459233b3943990\CollectionInternals.fs', 57, 25, 25, 6, 6, 0, 3907
'../in/flagged_repos/core/before\70d27a119717f25643e9075fb9459233b3943990\ListModule.fs', 70, 17, 17, 0, 5, 0, 6125
'../in/flagged_repos/core/before\70d27a119717f25643e9075fb9459233b3943990\Seq.fs', 4, 7, 8, 72, 2, 0, 9013
'../in/flagged_repos/core/before\70d27a119717f25643e9075fb9459233b3943990\SeqModule.fs', 69, 17, 18, 1, 8, 0, 7461
'../in/flagged_repos/core/before\7189327794556dcdab1fb2e0ee8568ec9395d1b7\Api.fs', 2, 1, 0, 0, 0, 0, 995
'../in/flagged_repos/core/before\774e72d85ed16aaa41a29a2d568f0d5d831b2ad7\Config.fs', 0, 0, 0, 0, 0, 0, 151
'../in/flagged_repos/core/before\774e72d85ed16aaa41a29a2d568f0d5d831b2ad7\Main.fs', 0, 3, 3, 0, 1, 1, 1399
'../in/flagged_repos/core/before\7acd68e2ecf24a2a13423feaee38d213242b4def\ClientSideJson.fs', 5, 10, 5, 10, 0, 0, 5161
