Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/expecto/after\0acf162b974d5c6cb9ba24b38dff7c561fc0715c\Expect.fs', 6, 3, 3, 0, 3, 2, 2438
'../in/flagged_repos/expecto/after\0acf162b974d5c6cb9ba24b38dff7c561fc0715c\Expecto.fs', 0, 1, 1, 5, 14, 0, 7477
'../in/flagged_repos/expecto/after\0acf162b974d5c6cb9ba24b38dff7c561fc0715c\Expecto.Sample.fs', 0, 0, 0, 4, 1, 0, 276
'../in/flagged_repos/expecto/after\0acf162b974d5c6cb9ba24b38dff7c561fc0715c\Main.fs', 0, 0, 0, 0, 0, 0, 22
'../in/flagged_repos/expecto/after\0acf162b974d5c6cb9ba24b38dff7c561fc0715c\Prelude.fs', 0, 4, 5, 0, 0, 0, 876
'../in/flagged_repos/expecto/after\0acf162b974d5c6cb9ba24b38dff7c561fc0715c\Tests.fs', 6, 0, 3, 17, 3, 1, 4620
'../in/flagged_repos/expecto/after\3eccb74b14aab18aa052502699706fbe63de3f45\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 148
'../in/flagged_repos/expecto/after\3eccb74b14aab18aa052502699706fbe63de3f45\Expect.fs', 2, 1, 1, 0, 3, 2, 6114
'../in/flagged_repos/expecto/after\3eccb74b14aab18aa052502699706fbe63de3f45\Tests.fs', 22, 12, 15, 59, 7, 3, 12093
'../in/flagged_repos/expecto/after\4f3dbc134cb3e53cfc6772aa8da109a0dfed75bd\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 148
'../in/flagged_repos/expecto/after\4f3dbc134cb3e53cfc6772aa8da109a0dfed75bd\Performance.fs', 2, 0, 0, 0, 0, 0, 1719
'../in/flagged_repos/expecto/after\540a5e4ce638c9f77457c17f8937e99d3465ea04\Expecto.fs', 0, 1, 1, 0, 7, 0, 4354
'../in/flagged_repos/expecto/after\540a5e4ce638c9f77457c17f8937e99d3465ea04\FsCheckTests.fs', 0, 0, 0, 0, 0, 0, 257
'../in/flagged_repos/expecto/after\540a5e4ce638c9f77457c17f8937e99d3465ea04\Prelude.fs', 0, 4, 5, 0, 0, 0, 765
'../in/flagged_repos/expecto/after\540a5e4ce638c9f77457c17f8937e99d3465ea04\Tests.fs', 6, 0, 3, 2, 3, 1, 2742
'../in/flagged_repos/expecto/after\7966944b42197033b2b7f4cf212c6078fd2bdfd2\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 148
'../in/flagged_repos/expecto/after\7966944b42197033b2b7f4cf212c6078fd2bdfd2\Library.fs', 0, 0, 0, 23, 0, 1, 2207
'../in/flagged_repos/expecto/after\a57ba13781b573b37fe24b9dc87479412e7ffb2c\Tests.fs', 22, 12, 15, 25, 7, 3, 10921
'../in/flagged_repos/expecto/after\c54245cd2b7e97135fb0fb57eb31ec7569e77370\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 148
'../in/flagged_repos/expecto/after\c54245cd2b7e97135fb0fb57eb31ec7569e77370\Performance.fs', 2, 0, 0, 0, 0, 0, 1696
