Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/fbus/after\076d0df68dcde04b3317d21f87dac2e1ca1bc300\Json.fs', 0, 0, 0, 0, 0, 0, 174
'../in/flagged_repos/fbus/after\0c5ebd7d73b1aa25f481f625ec9a3b7fc7bf645f\Builder.fs', 0, 0, 0, 0, 8, 0, 769
'../in/flagged_repos/fbus/after\0c5ebd7d73b1aa25f481f625ec9a3b7fc7bf645f\Control.fs', 6, 1, 0, 1, 6, 0, 1259
'../in/flagged_repos/fbus/after\0c5ebd7d73b1aa25f481f625ec9a3b7fc7bf645f\FBus.fs', 0, 0, 0, 0, 0, 0, 651
'../in/flagged_repos/fbus/after\0c5ebd7d73b1aa25f481f625ec9a3b7fc7bf645f\Program.fs', 0, 1, 1, 0, 0, 0, 291
'../in/flagged_repos/fbus/after\0c5ebd7d73b1aa25f481f625ec9a3b7fc7bf645f\Transport.fs', 2, 1, 0, 0, 1, 0, 1147
'../in/flagged_repos/fbus/after\0c5ebd7d73b1aa25f481f625ec9a3b7fc7bf645f\Transports.fs', 4, 0, 0, 0, 1, 0, 770
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\Activator.fs', 0, 0, 0, 0, 2, 0, 243
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\Builder.fs', 0, 0, 0, 0, 7, 0, 721
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\Container.fs', 0, 0, 0, 0, 0, 0, 57
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\Control.fs', 6, 1, 0, 1, 8, 0, 1033
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\FBus.fs', 0, 0, 0, 0, 0, 0, 623
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\Json.fs', 0, 0, 0, 0, 0, 0, 153
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\Program.fs', 0, 0, 0, 1, 0, 0, 174
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\Serializer.fs', 0, 0, 0, 0, 0, 0, 174
'../in/flagged_repos/fbus/after\13eda4ec32896d7a050db3937e380ac1dd268209\Transport.fs', 2, 1, 0, 0, 1, 0, 1216
'../in/flagged_repos/fbus/after\3fe58e5c0953229eb79e868937cce06990740afb\Container.fs', 4, 0, 0, 0, 1, 0, 573
'../in/flagged_repos/fbus/after\3fe58e5c0953229eb79e868937cce06990740afb\Program.fs', 0, 0, 0, 0, 0, 0, 318
'../in/flagged_repos/fbus/after\3fe58e5c0953229eb79e868937cce06990740afb\SerializerBenchmark.fs', 4, 0, 0, 0, 0, 0, 395
'../in/flagged_repos/fbus/after\3fe58e5c0953229eb79e868937cce06990740afb\Testing.fs', 0, 0, 0, 0, 0, 0, 124
'../in/flagged_repos/fbus/after\3fe58e5c0953229eb79e868937cce06990740afb\Transports.fs', 4, 0, 0, 0, 1, 0, 792
'../in/flagged_repos/fbus/after\83a31e293bfb9a24825e2c77e2a571e4a2630ca4\GenericHost.fs', 0, 0, 0, 0, 0, 0, 141
'../in/flagged_repos/fbus/after\8e088a425e04b886234e974128cbbd354462467d\Builder.fs', 0, 0, 0, 0, 1, 0, 542
'../in/flagged_repos/fbus/after\8e088a425e04b886234e974128cbbd354462467d\RabbitMQ.fs', 0, 1, 0, 0, 2, 0, 1125
'../in/flagged_repos/fbus/after\928854c3ff66eb9658f172bdebb55b660729b0ae\Json.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/fbus/after\a43e23aa059604caf9bef58e9b3c3440fede8627\RabbitMQ.fs', 0, 1, 0, 0, 1, 0, 1192
'../in/flagged_repos/fbus/after\b3bb122857f9ecd7d06031f194a96f85532cef65\RabbitMQ.fs', 2, 1, 0, 0, 1, 0, 1240
'../in/flagged_repos/fbus/after\bcd61b9cc29f9e427f3c89f1b2d93de3efd17fa2\Bridge.fs', 0, 0, 0, 0, 0, 0, 458
'../in/flagged_repos/fbus/after\bcd61b9cc29f9e427f3c89f1b2d93de3efd17fa2\Serializer.fs', 0, 0, 0, 0, 2, 0, 228
'../in/flagged_repos/fbus/after\bdac46a6a01a8d776b84501e5a630309741b3676\Program.fs', 1, 2, 2, 1, 0, 0, 448
'../in/flagged_repos/fbus/after\bdac46a6a01a8d776b84501e5a630309741b3676\Transport.fs', 2, 1, 0, 0, 1, 0, 1284
'../in/flagged_repos/fbus/after\d15086eed9a8e4f98495c3c0668d50430955e3ef\Bridge.fs', 0, 0, 0, 0, 0, 0, 29
'../in/flagged_repos/fbus/after\d15086eed9a8e4f98495c3c0668d50430955e3ef\Builder.fs', 0, 0, 0, 0, 6, 0, 1110
'../in/flagged_repos/fbus/after\d15086eed9a8e4f98495c3c0668d50430955e3ef\GenericHost.fs', 0, 0, 0, 0, 0, 0, 145
'../in/flagged_repos/fbus/after\d15086eed9a8e4f98495c3c0668d50430955e3ef\InMemory.fs', 0, 0, 0, 0, 0, 0, 82
'../in/flagged_repos/fbus/after\d15086eed9a8e4f98495c3c0668d50430955e3ef\Json.fs', 0, 0, 0, 0, 0, 0, 58
'../in/flagged_repos/fbus/after\d15086eed9a8e4f98495c3c0668d50430955e3ef\Program.fs', 0, 0, 0, 1, 0, 0, 190
'../in/flagged_repos/fbus/after\d15086eed9a8e4f98495c3c0668d50430955e3ef\RabbitMQ.fs', 0, 0, 0, 0, 0, 0, 81
'../in/flagged_repos/fbus/after\e6816bc0e90bfaa69b41ecc02718cb33c5d147fd\Container.fs', 4, 0, 0, 0, 1, 0, 589
'../in/flagged_repos/fbus/after\e6816bc0e90bfaa69b41ecc02718cb33c5d147fd\Program.fs', 0, 0, 0, 0, 0, 0, 334
'../in/flagged_repos/fbus/after\e6816bc0e90bfaa69b41ecc02718cb33c5d147fd\SerializerBenchmark.fs', 4, 0, 0, 0, 0, 0, 405
'../in/flagged_repos/fbus/after\e6816bc0e90bfaa69b41ecc02718cb33c5d147fd\Testing.fs', 0, 0, 0, 0, 0, 0, 118
'../in/flagged_repos/fbus/after\e6816bc0e90bfaa69b41ecc02718cb33c5d147fd\Transports.fs', 12, 0, 0, 0, 2, 0, 1305
'../in/flagged_repos/fbus/after\ed9fc2fbc0b597102c1730555328bf2f423b6d02\Bridge.fs', 0, 0, 0, 0, 0, 0, 458
'../in/flagged_repos/fbus/after\ed9fc2fbc0b597102c1730555328bf2f423b6d02\Serializer.fs', 0, 0, 0, 0, 2, 0, 228
'../in/flagged_repos/fbus/after\fc895739eb34ddb4f4dfa423e3857c33b2636210\GenericHost.fs', 0, 0, 0, 0, 0, 0, 135
