Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/froto/after\40a86c726a95abca52dd1fece35727c497f6b86a\Parser.fs', 3, 3, 0, 0, 1, 0, 4998
'../in/flagged_repos/froto/after\40a86c726a95abca52dd1fece35727c497f6b86a\TestParser.fs', 0, 0, 0, 0, 0, 1, 6860
'../in/flagged_repos/froto/after\bc9d38da0feeaaceea42090089391181d4594a49\Ast.fs', 0, 0, 0, 0, 0, 0, 2050
'../in/flagged_repos/froto/after\bc9d38da0feeaaceea42090089391181d4594a49\Parser.fs', 3, 3, 0, 0, 1, 0, 4996
'../in/flagged_repos/froto/after\bc9d38da0feeaaceea42090089391181d4594a49\TestClassModel.fs', 0, 0, 0, 0, 0, 1, 1220
'../in/flagged_repos/froto/after\bc9d38da0feeaaceea42090089391181d4594a49\TestParser.fs', 0, 0, 0, 0, 0, 1, 6458
'../in/flagged_repos/froto/after\bc9d38da0feeaaceea42090089391181d4594a49\TypeGen.fs', 0, 2, 2, 0, 2, 0, 2256
'../in/flagged_repos/froto/after\ca65a0f6974b4ee9e4f0c143e620428f6b9e7e82\ExampleProtoClass.fs', 18, 2, 2, 0, 0, 0, 1429
'../in/flagged_repos/froto/after\ca65a0f6974b4ee9e4f0c143e620428f6b9e7e82\ExampleProtoRecord.fs', 0, 2, 2, 0, 0, 0, 1076
'../in/flagged_repos/froto/after\ca65a0f6974b4ee9e4f0c143e620428f6b9e7e82\Serialization.fs', 0, 0, 0, 0, 3, 0, 2579
'../in/flagged_repos/froto/after\ca65a0f6974b4ee9e4f0c143e620428f6b9e7e82\TestClassSerialization.fs', 19, 0, 0, 5, 0, 0, 2017
'../in/flagged_repos/froto/after\ca65a0f6974b4ee9e4f0c143e620428f6b9e7e82\TestSerialization.fs', 0, 0, 0, 9, 0, 0, 2550
