Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/fsharp-hashcollections/after\2b8478068ed3a50c8e940e0bd669b7efd504b719\HamtImpl.fs', 5, 6, 6, 0, 0, 0, 4619
'../in/flagged_repos/fsharp-hashcollections/after\2b8478068ed3a50c8e940e0bd669b7efd504b719\HashMap.fs', 4, 4, 4, 0, 1, 0, 1933
'../in/flagged_repos/fsharp-hashcollections/after\2b8478068ed3a50c8e940e0bd669b7efd504b719\HashMapTest.fs', 27, 5, 5, 0, 0, 0, 2229
'../in/flagged_repos/fsharp-hashcollections/after\2b8478068ed3a50c8e940e0bd669b7efd504b719\HashSet.fs', 4, 2, 2, 0, 0, 0, 1866
'../in/flagged_repos/fsharp-hashcollections/after\2b8478068ed3a50c8e940e0bd669b7efd504b719\HashSetTest.fs', 30, 6, 6, 0, 0, 0, 2350
'../in/flagged_repos/fsharp-hashcollections/after\b8f7fc5a536029945ea83dafb9dbbfb776cf9eca\HamtImpl.fs', 5, 4, 4, 0, 0, 0, 4186
'../in/flagged_repos/fsharp-hashcollections/after\b8f7fc5a536029945ea83dafb9dbbfb776cf9eca\HashMap.fs', 4, 4, 4, 0, 1, 0, 1884
'../in/flagged_repos/fsharp-hashcollections/after\b8f7fc5a536029945ea83dafb9dbbfb776cf9eca\HashMapTest.fs', 27, 5, 5, 0, 0, 0, 2061
'../in/flagged_repos/fsharp-hashcollections/after\b8f7fc5a536029945ea83dafb9dbbfb776cf9eca\HashSet.fs', 4, 2, 2, 0, 0, 0, 1860
'../in/flagged_repos/fsharp-hashcollections/after\b8f7fc5a536029945ea83dafb9dbbfb776cf9eca\HashSetTest.fs', 30, 6, 6, 0, 0, 0, 2274
'../in/flagged_repos/fsharp-hashcollections/after\b8f7fc5a536029945ea83dafb9dbbfb776cf9eca\InternalTypes.fs', 0, 0, 0, 0, 0, 0, 240
