Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/fvim/before\0c59542b602476087f46bbec335f3581a7f01a55\Editor.xaml.fs', 7, 2, 0, 0, 0, 0, 922
'../in/flagged_repos/fvim/before\0c59542b602476087f46bbec335f3581a7f01a55\neovim.rpc.fs', 23, 1, 1, 24, 5, 0, 4986
'../in/flagged_repos/fvim/before\0c59542b602476087f46bbec335f3581a7f01a55\Program.fs', 1, 0, 0, 0, 0, 1, 348
'../in/flagged_repos/fvim/before\119a45527f0b129d4fb721569a8536d01b2315be\GridViewModel.fs', 181, 22, 21, 1, 0, 0, 9349
'../in/flagged_repos/fvim/before\123a102aa86513d179ae5ff2b7c012fb7d3d3325\ui.fs', 29, 2, 2, 2, 3, 0, 3822
'../in/flagged_repos/fvim/before\2c1625bdb2b6acf7e547e0b6b7f07b366794a3b1\GridViewModel.fs', 174, 22, 21, 1, 1, 0, 8911
'../in/flagged_repos/fvim/before\30d61fae98b6665d4303cf21864f6660d4ce4aa6\def.fs', 0, 0, 0, 28, 0, 0, 5170
'../in/flagged_repos/fvim/before\30d61fae98b6665d4303cf21864f6660d4ce4aa6\ThemableViewModelBase.fs', 8, 1, 0, 0, 0, 0, 806
'../in/flagged_repos/fvim/before\30d61fae98b6665d4303cf21864f6660d4ce4aa6\theme.fs', 36, 1, 0, 2, 0, 0, 1264
'../in/flagged_repos/fvim/before\30d61fae98b6665d4303cf21864f6660d4ce4aa6\TitleBar.xaml.fs', 10, 1, 0, 0, 0, 0, 417
'../in/flagged_repos/fvim/before\42d85d9c9f5e47e931a6092ee5c8c2c69243c2cf\Cursor.xaml.fs', 22, 1, 0, 2, 0, 0, 1651
'../in/flagged_repos/fvim/before\4362d8aa5e3790c4f7cc7e574ad90ba5d3781b83\GridViewModel.fs', 172, 22, 21, 1, 1, 0, 8835
'../in/flagged_repos/fvim/before\4d4813d4c62e4683ff4805e5f9bb998c1883e1c7\Editor.xaml.fs', 155, 8, 7, 2, 1, 0, 7299
'../in/flagged_repos/fvim/before\5254e8562929c5b263dd49793eff19a3b7cb144b\Grid.xaml.fs', 64, 14, 12, 3, 1, 0, 6942
'../in/flagged_repos/fvim/before\5bc307001d3d4dd497e4066ffbd61fc3fb8b7c0b\MainWindow.xaml.fs', 4, 1, 0, 1, 0, 0, 507
'../in/flagged_repos/fvim/before\6b4c30941fecfa41783d89a260b2a3741645e9ab\neovim.model.fs', 11, 4, 4, 1, 0, 0, 5174
'../in/flagged_repos/fvim/before\7a2270c150c407a06e8d09d925ed1f8de87143d2\config.fs', 0, 0, 0, 0, 3, 1, 491
'../in/flagged_repos/fvim/before\8b5d2d36f518cc3d0eec3f63a0e14cd6f8c14959\neovim.rpc.fs', 23, 1, 1, 24, 5, 0, 5006
'../in/flagged_repos/fvim/before\943e5d66ee0c67a5a0840c32dbb5cb3d03e40a98\theme.fs', 36, 1, 0, 2, 0, 0, 1284
'../in/flagged_repos/fvim/before\b4be2e244a771161ca71e82f70c3ee04d49088b3\neovim.fs', 26, 2, 2, 12, 10, 9, 3604
'../in/flagged_repos/fvim/before\b6a33183e219b54e1adb07789a11c510e2359d85\Editor.xaml.fs', 36, 7, 6, 0, 2, 0, 3056
'../in/flagged_repos/fvim/before\b6a33183e219b54e1adb07789a11c510e2359d85\model.fs', 23, 7, 7, 5, 0, 0, 8333
'../in/flagged_repos/fvim/before\b6a33183e219b54e1adb07789a11c510e2359d85\states.fs', 32, 0, 0, 2, 4, 0, 2187
'../in/flagged_repos/fvim/before\c044e3581b3d61e0a82c28251e630f2ca7f157ef\input.fs', 10, 1, 1, 0, 0, 0, 4266
'../in/flagged_repos/fvim/before\c43c0c651038637a889990b7a147bcb542474a11\config.fs', 0, 0, 0, 0, 3, 1, 449
'../in/flagged_repos/fvim/before\c43c0c651038637a889990b7a147bcb542474a11\FrameViewModel.fs', 34, 1, 0, 1, 1, 1, 1584
'../in/flagged_repos/fvim/before\c43c0c651038637a889990b7a147bcb542474a11\model.fs', 19, 7, 7, 9, 7, 1, 5981
'../in/flagged_repos/fvim/before\c43c0c651038637a889990b7a147bcb542474a11\Program.fs', 12, 0, 0, 0, 2, 1, 1208
'../in/flagged_repos/fvim/before\c43c0c651038637a889990b7a147bcb542474a11\states.fs', 37, 0, 0, 1, 0, 0, 614
'../in/flagged_repos/fvim/before\c90d32cc5e988f807c3b34058dac31d1d0cdc936\neovim.rpc.fs', 25, 1, 1, 28, 5, 0, 5090
'../in/flagged_repos/fvim/before\c90d32cc5e988f807c3b34058dac31d1d0cdc936\Program.fs', 4, 1, 1, 0, 0, 1, 1118
'../in/flagged_repos/fvim/before\ca6811225fdc7dc98b6b44410b34937fede22992\Editor.xaml.fs', 136, 8, 7, 4, 1, 0, 6796
'../in/flagged_repos/fvim/before\d44a2c0b741b6a06c252d947553c3dbd568498f0\Cursor.xaml.fs', 31, 1, 0, 1, 1, 0, 1639
'../in/flagged_repos/fvim/before\d44a2c0b741b6a06c252d947553c3dbd568498f0\def.fs', 0, 0, 0, 30, 0, 0, 5876
'../in/flagged_repos/fvim/before\d44a2c0b741b6a06c252d947553c3dbd568498f0\Editor.xaml.fs', 44, 9, 8, 2, 2, 0, 3947
'../in/flagged_repos/fvim/before\d44a2c0b741b6a06c252d947553c3dbd568498f0\ui.fs', 28, 2, 2, 2, 1, 0, 3323
'../in/flagged_repos/fvim/before\d44a2c0b741b6a06c252d947553c3dbd568498f0\wcwidth.fs', 0, 0, 0, 5, 0, 0, 5167
'../in/flagged_repos/fvim/before\e81f09ade0634d8bbff4a54bd293480345e9ac25\theme.fs', 36, 1, 0, 2, 0, 0, 1190
'../in/flagged_repos/fvim/before\e8c1fc2e60a0ba6c749bfade8173ff58a90c5539\model.fs', 23, 7, 7, 5, 0, 0, 8714
'../in/flagged_repos/fvim/before\e8c1fc2e60a0ba6c749bfade8173ff58a90c5539\states.fs', 38, 0, 0, 2, 4, 0, 2591
'../in/flagged_repos/fvim/before\e8c1fc2e60a0ba6c749bfade8173ff58a90c5539\ui.fs', 58, 2, 2, 1, 0, 0, 5036
'../in/flagged_repos/fvim/before\ee9fcf901b975b4f5c53dd9d0fca2b4faef2a314\common.fs', 11, 0, 0, 6, 2, 2, 2136
'../in/flagged_repos/fvim/before\ee9fcf901b975b4f5c53dd9d0fca2b4faef2a314\model.fs', 22, 7, 7, 5, 0, 0, 8891
'../in/flagged_repos/fvim/before\ee9fcf901b975b4f5c53dd9d0fca2b4faef2a314\neovim.fs', 19, 2, 2, 11, 7, 9, 3260
'../in/flagged_repos/fvim/before\ee9fcf901b975b4f5c53dd9d0fca2b4faef2a314\Program.fs', 5, 0, 0, 0, 2, 1, 1379
'../in/flagged_repos/fvim/before\ee9fcf901b975b4f5c53dd9d0fca2b4faef2a314\states.fs', 38, 0, 0, 2, 4, 0, 2613
'../in/flagged_repos/fvim/before\f384277f4d56d50a760aa8533a672b6760e21252\getopt.fs', 4, 0, 0, 0, 0, 0, 152
'../in/flagged_repos/fvim/before\f384277f4d56d50a760aa8533a672b6760e21252\log.fs', 2, 0, 0, 0, 0, 1, 245
'../in/flagged_repos/fvim/before\f384277f4d56d50a760aa8533a672b6760e21252\neovim.model.fs', 5, 0, 0, 1, 2, 0, 4002
