Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/issie/after\03456c6f0df7d3a0c6a46c025bb9160191d4a1e3\DrawHelpers.fs', 1, 0, 0, 0, 0, 0, 1782
'../in/flagged_repos/issie/after\03456c6f0df7d3a0c6a46c025bb9160191d4a1e3\Sheet.fs', 6, 0, 0, 0, 0, 0, 5931
'../in/flagged_repos/issie/after\03456c6f0df7d3a0c6a46c025bb9160191d4a1e3\SheetUpdate.fs', 8, 0, 0, 0, 0, 0, 12051
'../in/flagged_repos/issie/after\03456c6f0df7d3a0c6a46c025bb9160191d4a1e3\Symbol.fs', 0, 0, 0, 19, 2, 0, 14188
'../in/flagged_repos/issie/after\03456c6f0df7d3a0c6a46c025bb9160191d4a1e3\SymbolUpdate.fs', 0, 0, 0, 0, 0, 0, 9217
'../in/flagged_repos/issie/after\0a442b2c5137c3e3934670483f9111f9af6ad9ca\Update.fs', 1, 0, 0, 2, 1, 0, 5603
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\Builder.fs', 0, 0, 0, 0, 0, 0, 6065
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\CanvasStatesMemories.fs', 0, 0, 0, 0, 0, 0, 2077
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\CatalogueView.fs', 8, 0, 0, 0, 0, 0, 8079
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\CommonTypes.fs', 0, 0, 0, 0, 0, 0, 1028
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\Draw2dWrapper.fs', 5, 0, 0, 0, 0, 0, 5532
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\Extractor.fs', 0, 0, 0, 0, 0, 0, 1663
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\Helpers.fs', 0, 0, 0, 0, 2, 0, 1483
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\MainView.fs', 1, 0, 0, 0, 1, 0, 1905
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\MemoryEditorView.fs', 0, 0, 0, 0, 0, 0, 2902
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\MessageType.fs', 0, 0, 0, 5, 0, 0, 1255
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\NumberHelpers.fs', 0, 0, 0, 0, 2, 0, 1612
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\PopupView.fs', 0, 0, 0, 0, 0, 0, 3167
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\SelectedComponentView.fs', 0, 0, 0, 0, 0, 0, 2215
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\Update.fs', 0, 0, 0, 3, 2, 0, 5717
'../in/flagged_repos/issie/after\1df51e74c85b40fc377d04a7c303e15b420b04d6\WidthInferer.fs', 0, 0, 0, 0, 0, 0, 6606
'../in/flagged_repos/issie/after\2346bc980d95f27e101441463556d23feb27e7b2\BusWire.fs', 0, 0, 0, 0, 2, 0, 8959
'../in/flagged_repos/issie/after\2346bc980d95f27e101441463556d23feb27e7b2\BusWireUpdate.fs', 0, 0, 0, 0, 0, 0, 10608
'../in/flagged_repos/issie/after\2346bc980d95f27e101441463556d23feb27e7b2\DrawModelType.fs', 0, 0, 0, 0, 0, 0, 2518
'../in/flagged_repos/issie/after\2346bc980d95f27e101441463556d23feb27e7b2\Sheet.fs', 6, 0, 0, 6, 0, 0, 6592
'../in/flagged_repos/issie/after\2346bc980d95f27e101441463556d23feb27e7b2\SheetUpdate.fs', 8, 0, 0, 0, 0, 0, 9895
'../in/flagged_repos/issie/after\2346bc980d95f27e101441463556d23feb27e7b2\Symbol.fs', 0, 0, 0, 22, 2, 0, 13838
'../in/flagged_repos/issie/after\2346bc980d95f27e101441463556d23feb27e7b2\SymbolUpdate.fs', 0, 0, 0, 0, 0, 0, 9390
'../in/flagged_repos/issie/after\2eb6054911e10a315f2e7c96f40a4dc5ce22352d\Symbol.fs', 0, 0, 0, 0, 0, 0, 11882
'../in/flagged_repos/issie/after\3bcfb96277945f3cba84bf139c920c84c2827b0a\Version.fs', 0, 0, 0, 0, 0, 0, 99
'../in/flagged_repos/issie/after\3bcfb96277945f3cba84bf139c920c84c2827b0a\WaveSimHelpers.fs', 0, 0, 0, 46, 8, 0, 12598
'../in/flagged_repos/issie/after\6cfbbac195533f3bf5730cb63c94ebb6e52c3871\BusWireUpdate.fs', 0, 0, 0, 0, 0, 0, 11681
'../in/flagged_repos/issie/after\c62fc63da009b2c28dc293a61aa29c7870037005\Fast.fs', 38, 1, 1, 15, 36, 0, 13159
