Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/marksman/before\104ec99fd6167f412a7c8254885bab703908aab5\Server.fs', 10, 7, 7, 13, 2, 1, 6740
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\Compl.fs', 0, 0, 0, 4, 0, 0, 3778
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\Cst.fs', 2, 1, 1, 1, 0, 0, 2617
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\Index.fs', 3, 2, 2, 0, 0, 0, 1035
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\Misc.fs', 9, 2, 2, 4, 3, 0, 2299
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\MiscTests.fs', 0, 0, 0, 3, 0, 0, 827
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\Parser.fs', 21, 7, 6, 4, 0, 0, 3261
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\Refactor.fs', 2, 2, 2, 3, 0, 0, 2061
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\Refs.fs', 6, 4, 4, 0, 2, 1, 2722
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\RefsTests.fs', 0, 0, 0, 2, 8, 1, 1738
'../in/flagged_repos/marksman/before\1a3998fa6cdc7f76eefb455c2948876ccc88cd79\Workspace.fs', 0, 4, 4, 0, 7, 1, 3588
'../in/flagged_repos/marksman/before\57fd7d1606c0a4be2bf3770dea238aba284e8021\LanguageServerProtocol.fs', 32, 4, 4, 6, 13, 3, 6090
'../in/flagged_repos/marksman/before\57fd7d1606c0a4be2bf3770dea238aba284e8021\Program.fs', 1, 0, 0, 0, 0, 0, 411
'../in/flagged_repos/marksman/before\57fd7d1606c0a4be2bf3770dea238aba284e8021\Server.fs', 12, 6, 6, 10, 3, 1, 5129
'../in/flagged_repos/marksman/before\77670959a74c5190d1502cb643239a20b0e105c6\Server.fs', 10, 10, 10, 9, 2, 1, 6774
'../in/flagged_repos/marksman/before\77670959a74c5190d1502cb643239a20b0e105c6\Workspace.fs', 0, 4, 5, 1, 3, 1, 2939
'../in/flagged_repos/marksman/before\8ebfa875f991e76dbe0d52babe20c1b985507acc\Text.fs', 6, 2, 2, 0, 5, 1, 3291
'../in/flagged_repos/marksman/before\8ebfa875f991e76dbe0d52babe20c1b985507acc\TextTests.fs', 0, 0, 0, 4, 0, 0, 681
'../in/flagged_repos/marksman/before\8ebfa875f991e76dbe0d52babe20c1b985507acc\Workspace.fs', 0, 3, 4, 0, 2, 1, 2491
'../in/flagged_repos/marksman/before\964ab82aacee00caa3e68d23a634909c2c7e9728\WorkspaceTest.fs', 0, 0, 0, 1, 0, 0, 189
'../in/flagged_repos/marksman/before\b9c4652e74c1d06b2a048e986a6120e21c92ab54\Server.fs', 10, 7, 7, 13, 2, 1, 6695
'../in/flagged_repos/marksman/before\b9c4652e74c1d06b2a048e986a6120e21c92ab54\State.fs', 0, 1, 1, 0, 1, 0, 1149
'../in/flagged_repos/marksman/before\b9c4652e74c1d06b2a048e986a6120e21c92ab54\Types.fs', 2, 0, 0, 2, 0, 0, 8820
'../in/flagged_repos/marksman/before\cf1743e05fe5ed1f3515a8f09fc9d65b2437a454\GitIgnore.fs', 0, 0, 0, 4, 1, 1, 625
'../in/flagged_repos/marksman/before\cf1743e05fe5ed1f3515a8f09fc9d65b2437a454\GitIgnoreTest.fs', 0, 0, 0, 8, 0, 0, 979
