Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/oryx/after\13a10fbe33af7950a74a91a6041a366f110e6df0\Core.fs', 2, 1, 1, 0, 4, 0, 3232
'../in/flagged_repos/oryx/after\13a10fbe33af7950a74a91a6041a366f110e6df0\Error.fs', 9, 1, 1, 0, 2, 0, 1476
'../in/flagged_repos/oryx/after\13a10fbe33af7950a74a91a6041a366f110e6df0\Handler.fs', 0, 0, 0, 0, 17, 0, 2248
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\Builder.fs', 0, 1, 1, 0, 0, 0, 532
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\Common.fs', 13, 1, 0, 0, 3, 1, 1451
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\Core.fs', 5, 1, 1, 0, 4, 0, 2963
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\Encode.fs', 0, 0, 0, 0, 0, 0, 314
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\Error.fs', 9, 1, 1, 0, 2, 0, 1475
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\Fetch.fs', 15, 0, 0, 0, 0, 0, 2304
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\Handler.fs', 0, 0, 0, 0, 15, 0, 1844
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\HttpContext.fs', 0, 0, 0, 0, 1, 0, 1190
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\HttpError.fs', 0, 0, 0, 0, 2, 0, 65
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\HttpHandler.fs', 0, 0, 0, 0, 4, 1, 3150
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\Program.fs', 0, 0, 0, 0, 0, 0, 355
'../in/flagged_repos/oryx/after\19d6bcadac7eea316d393e3ed96555b3f90c2afe\ResponseReader.fs', 0, 0, 0, 0, 0, 0, 108
'../in/flagged_repos/oryx/after\1cbb212ece53ca8821d06c1c9f3b4fecb7f69fdf\Builder.fs', 0, 0, 0, 0, 6, 0, 537
'../in/flagged_repos/oryx/after\1cbb212ece53ca8821d06c1c9f3b4fecb7f69fdf\Context.fs', 0, 0, 0, 0, 0, 0, 764
'../in/flagged_repos/oryx/after\1cbb212ece53ca8821d06c1c9f3b4fecb7f69fdf\Fetch.fs', 12, 0, 0, 0, 0, 0, 1120
'../in/flagged_repos/oryx/after\1cbb212ece53ca8821d06c1c9f3b4fecb7f69fdf\Handler.fs', 0, 1, 1, 0, 2, 1, 2322
'../in/flagged_repos/oryx/after\1cbb212ece53ca8821d06c1c9f3b4fecb7f69fdf\Json.fs', 3, 0, 0, 0, 4, 0, 789
'../in/flagged_repos/oryx/after\1f523e8caff8b643d04052b33f03d47ee58ff837\Builder.fs', 0, 1, 1, 0, 0, 0, 710
'../in/flagged_repos/oryx/after\1f523e8caff8b643d04052b33f03d47ee58ff837\Core.fs', 2, 1, 1, 0, 4, 0, 4131
'../in/flagged_repos/oryx/after\1f523e8caff8b643d04052b33f03d47ee58ff837\HttpHandler.fs', 0, 0, 0, 0, 3, 1, 3078
'../in/flagged_repos/oryx/after\2ac4d2e2443da8c8e07c004e0f3d4fe909f8c73f\Context.fs', 0, 0, 0, 0, 0, 0, 798
'../in/flagged_repos/oryx/after\2ac4d2e2443da8c8e07c004e0f3d4fe909f8c73f\Handler.fs', 0, 1, 1, 0, 2, 1, 2401
'../in/flagged_repos/oryx/after\336543729421fb302a699cba5b0e3e9f3dbc152c\Common.fs', 13, 1, 0, 0, 1, 1, 1705
'../in/flagged_repos/oryx/after\336543729421fb302a699cba5b0e3e9f3dbc152c\Context.fs', 0, 0, 0, 0, 1, 0, 1237
'../in/flagged_repos/oryx/after\336543729421fb302a699cba5b0e3e9f3dbc152c\Fetch.fs', 15, 0, 0, 0, 0, 0, 2269
'../in/flagged_repos/oryx/after\44774bc62c4ed853d6d49a4aa1a040948c90889f\Classic.fs', 0, 0, 0, 0, 2, 0, 1717
'../in/flagged_repos/oryx/after\44774bc62c4ed853d6d49a4aa1a040948c90889f\Common.fs', 0, 0, 0, 0, 0, 0, 869
'../in/flagged_repos/oryx/after\44774bc62c4ed853d6d49a4aa1a040948c90889f\Context.fs', 0, 0, 0, 0, 0, 0, 762
'../in/flagged_repos/oryx/after\44774bc62c4ed853d6d49a4aa1a040948c90889f\Fetch.fs', 12, 0, 0, 0, 0, 0, 1117
'../in/flagged_repos/oryx/after\44774bc62c4ed853d6d49a4aa1a040948c90889f\Handler.fs', 0, 1, 1, 0, 2, 1, 2320
'../in/flagged_repos/oryx/after\44774bc62c4ed853d6d49a4aa1a040948c90889f\Ply.fs', 0, 0, 0, 0, 2, 0, 1743
'../in/flagged_repos/oryx/after\4cabf89ab5221ba0a4ff63477f36618f6a9ab30c\Common.fs', 0, 0, 0, 0, 0, 0, 975
'../in/flagged_repos/oryx/after\4cabf89ab5221ba0a4ff63477f36618f6a9ab30c\Context.fs', 0, 0, 0, 0, 0, 0, 858
'../in/flagged_repos/oryx/after\4cabf89ab5221ba0a4ff63477f36618f6a9ab30c\Encode.fs', 0, 0, 0, 0, 1, 2, 822
'../in/flagged_repos/oryx/after\4cabf89ab5221ba0a4ff63477f36618f6a9ab30c\Fetch.fs', 12, 0, 0, 0, 0, 0, 1117
'../in/flagged_repos/oryx/after\4f5c615d11360b2a2d79531c34b33658ae959777\Context.fs', 0, 0, 0, 0, 1, 0, 2038
'../in/flagged_repos/oryx/after\53709e926cc5c259a5b4ba0b8e764d57e76f275c\Builder.fs', 0, 1, 1, 0, 0, 0, 710
'../in/flagged_repos/oryx/after\53709e926cc5c259a5b4ba0b8e764d57e76f275c\Common.fs', 13, 1, 0, 0, 1, 1, 1519
'../in/flagged_repos/oryx/after\53709e926cc5c259a5b4ba0b8e764d57e76f275c\Core.fs', 2, 1, 1, 0, 4, 0, 3229
'../in/flagged_repos/oryx/after\53709e926cc5c259a5b4ba0b8e764d57e76f275c\Error.fs', 7, 1, 1, 0, 2, 0, 1105
'../in/flagged_repos/oryx/after\53709e926cc5c259a5b4ba0b8e764d57e76f275c\HttpHandler.fs', 0, 0, 0, 0, 3, 1, 3045
