Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\Environment.fs', 0, 2, 2, 0, 1, 1, 955
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\FSIRefs.fs', 0, 0, 0, 1, 0, 1, 963
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\Library.fs', 7, 2, 2, 3, 4, 2, 7483
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\Program.fs', 0, 0, 0, 0, 0, 2, 161
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\Project.fs', 4, 12, 0, 1, 3, 1, 1693
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\ProjectSystem.fs', 6, 3, 3, 0, 0, 1, 2217
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\Tests.fs', 3, 5, 3, 0, 1, 5, 8498
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\Types.fs', 0, 0, 0, 0, 0, 0, 785
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\Utils.fs', 0, 0, 0, 0, 0, 6, 1123
'../in/flagged_repos/proj-info/after\0e2be8540bfc7266cf545139fddd28678ae915ec\Workspace.fs', 0, 2, 2, 0, 0, 1, 667
'../in/flagged_repos/proj-info/after\1e6d0521f7f333df7eff3148465f7df6191e0201\Inspect.fs', 0, 0, 0, 6, 1, 2, 3879
'../in/flagged_repos/proj-info/after\1e6d0521f7f333df7eff3148465f7df6191e0201\Program.fs', 8, 1, 1, 0, 6, 1, 5358
'../in/flagged_repos/proj-info/after\1e6d0521f7f333df7eff3148465f7df6191e0201\Sample.fs', 0, 6, 6, 0, 0, 2, 3395
'../in/flagged_repos/proj-info/after\71099ba480a2ba9c2282273be7fd4f6f9fdedc67\Inspect.fs', 0, 0, 0, 6, 0, 2, 2530
'../in/flagged_repos/proj-info/after\d47494ae08b06419f1022f69a4296d9859f3cb27\Inspect.fs', 0, 0, 0, 6, 0, 2, 2693
'../in/flagged_repos/proj-info/after\d6a978b7e88a99b79dce2a6ff56c6fb40389c7f8\Library.fs', 1, 1, 1, 2, 2, 1, 3920
'../in/flagged_repos/proj-info/after\d6a978b7e88a99b79dce2a6ff56c6fb40389c7f8\Utils.fs', 0, 0, 0, 0, 0, 5, 1070
