Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\Environment.fs', 0, 2, 2, 0, 1, 1, 1054
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\FSIRefs.fs', 0, 0, 0, 1, 0, 1, 1457
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\Library.fs', 0, 1, 1, 2, 4, 1, 5984
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\Program.fs', 0, 0, 0, 0, 0, 0, 85
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\Project.fs', 4, 12, 0, 1, 3, 1, 1687
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\ProjectSystem.fs', 6, 2, 2, 0, 0, 1, 2253
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\Tests.fs', 3, 5, 3, 0, 1, 5, 8644
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\Types.fs', 0, 0, 0, 0, 0, 0, 782
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\Utils.fs', 0, 0, 0, 0, 0, 5, 1070
'../in/flagged_repos/proj-info/before\0e2be8540bfc7266cf545139fddd28678ae915ec\Workspace.fs', 0, 2, 2, 0, 0, 1, 677
'../in/flagged_repos/proj-info/before\1e6d0521f7f333df7eff3148465f7df6191e0201\Inspect.fs', 0, 0, 0, 6, 1, 2, 4060
'../in/flagged_repos/proj-info/before\1e6d0521f7f333df7eff3148465f7df6191e0201\Program.fs', 8, 1, 1, 0, 6, 1, 5398
'../in/flagged_repos/proj-info/before\1e6d0521f7f333df7eff3148465f7df6191e0201\Sample.fs', 0, 5, 5, 0, 0, 2, 3139
'../in/flagged_repos/proj-info/before\71099ba480a2ba9c2282273be7fd4f6f9fdedc67\Inspect.fs', 0, 0, 0, 5, 0, 2, 2480
'../in/flagged_repos/proj-info/before\d47494ae08b06419f1022f69a4296d9859f3cb27\Inspect.fs', 0, 0, 0, 6, 0, 2, 2579
'../in/flagged_repos/proj-info/before\d6a978b7e88a99b79dce2a6ff56c6fb40389c7f8\Library.fs', 1, 1, 1, 2, 2, 1, 3869
'../in/flagged_repos/proj-info/before\d6a978b7e88a99b79dce2a6ff56c6fb40389c7f8\Utils.fs', 0, 0, 0, 0, 0, 5, 1034
