Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/pulsar-client-dotnet/before\1df123d6c5aac4b30781d9c1adc4cc2ecfcc857f\ConsumerInterceptors.fs', 2, 8, 8, 1, 6, 0, 541
'../in/flagged_repos/pulsar-client-dotnet/before\1df123d6c5aac4b30781d9c1adc4cc2ecfcc857f\ProducerInterceptors.fs', 2, 3, 3, 1, 3, 0, 342
'../in/flagged_repos/pulsar-client-dotnet/before\1df123d6c5aac4b30781d9c1adc4cc2ecfcc857f\Program.fs', 1, 0, 0, 0, 0, 0, 129
'../in/flagged_repos/pulsar-client-dotnet/before\24c1f58e9b2d357bfc48e7013d92704b59137b24\Basic.fs', 1, 2, 2, 5, 3, 0, 2713
'../in/flagged_repos/pulsar-client-dotnet/before\24c1f58e9b2d357bfc48e7013d92704b59137b24\MessageId.fs', 2, 0, 0, 0, 1, 1, 1154
'../in/flagged_repos/pulsar-client-dotnet/before\24c1f58e9b2d357bfc48e7013d92704b59137b24\MessageTests.fs', 0, 0, 0, 2, 0, 0, 814
'../in/flagged_repos/pulsar-client-dotnet/before\42202197da1ba3744b9bdb7258beb5a1a323d095\ConsumerImpl.fs', 40, 17, 13, 0, 28, 1, 12724
'../in/flagged_repos/pulsar-client-dotnet/before\42202197da1ba3744b9bdb7258beb5a1a323d095\ZeroQueueConsumer.fs', 0, 0, 0, 0, 0, 0, 767
'../in/flagged_repos/pulsar-client-dotnet/before\4a53fb6415ae4a4eae0ca338a146644cb813ebb4\MultiVersionSchemaInfoProvider.fs', 2, 0, 0, 0, 0, 0, 251
'../in/flagged_repos/pulsar-client-dotnet/before\4a53fb6415ae4a4eae0ca338a146644cb813ebb4\Schema.fs', 0, 0, 0, 0, 0, 0, 3511
'../in/flagged_repos/pulsar-client-dotnet/before\4cc46b035c8c9ff8b2913e1632d6eb417f3fcaf4\ConsumerImpl.fs', 54, 22, 19, 1, 36, 1, 14890
