Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/w10wheel.net/after\05d562ef775ea3f5606c1c3699b550c38a89f0a3\AppDef.fs', 0, 0, 0, 0, 0, 0, 28
'../in/flagged_repos/w10wheel.net/after\05d562ef775ea3f5606c1c3699b550c38a89f0a3\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 157
'../in/flagged_repos/w10wheel.net/after\05d562ef775ea3f5606c1c3699b550c38a89f0a3\Ctx.fs', 113, 6, 6, 9, 9, 1, 7636
'../in/flagged_repos/w10wheel.net/after\05d562ef775ea3f5606c1c3699b550c38a89f0a3\EventHandler.fs', 11, 0, 0, 0, 0, 0, 2719
'../in/flagged_repos/w10wheel.net/after\05d562ef775ea3f5606c1c3699b550c38a89f0a3\Windows.fs', 17, 2, 2, 6, 0, 0, 2021
'../in/flagged_repos/w10wheel.net/after\1bd4a66689e363c4e7c4fb97e3a6823ff991a976\AppDef.fs', 0, 0, 0, 0, 0, 0, 28
'../in/flagged_repos/w10wheel.net/after\1bd4a66689e363c4e7c4fb97e3a6823ff991a976\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 157
'../in/flagged_repos/w10wheel.net/after\1bd4a66689e363c4e7c4fb97e3a6823ff991a976\Windows.fs', 61, 2, 2, 7, 0, 0, 3429
'../in/flagged_repos/w10wheel.net/after\354d21c16ae85802393e8ae043b297fc37b9a5c7\AppDef.fs', 0, 0, 0, 0, 0, 0, 28
'../in/flagged_repos/w10wheel.net/after\354d21c16ae85802393e8ae043b297fc37b9a5c7\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 157
'../in/flagged_repos/w10wheel.net/after\354d21c16ae85802393e8ae043b297fc37b9a5c7\Ctx.fs', 135, 8, 8, 10, 13, 1, 10659
'../in/flagged_repos/w10wheel.net/after\354d21c16ae85802393e8ae043b297fc37b9a5c7\Properties.fs', 4, 0, 0, 0, 1, 1, 1178
'../in/flagged_repos/w10wheel.net/after\4005637fd0a756f1a4e26a1de6b5844eb9f5c398\AppDef.fs', 0, 0, 0, 0, 0, 0, 28
