Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/website/before\091d613ff2b47df7e06fe9f5f300e88f834429aa\VaccineEffectChart.fs', 3, 1, 1, 3, 0, 0, 3624
'../in/flagged_repos/website/before\129e48760a83c5517a7a7916192c584cfaec6e7e\PatientsChart.fs', 0, 3, 3, 10, 0, 0, 3928
'../in/flagged_repos/website/before\1fdfc66785b3a566e793a9fb24b024d11a2fcfc7\Utils.fs', 0, 0, 0, 8, 5, 0, 29239
'../in/flagged_repos/website/before\540024daa2881c7cae6881cccd1a8484d565a73b\VaccinationChart.fs', 0, 2, 2, 5, 0, 0, 3947
'../in/flagged_repos/website/before\5d88d89ba100e105804aebaeb79ef5730cccb3b1\VaccinationChart.fs', 0, 2, 2, 6, 0, 0, 5000
'../in/flagged_repos/website/before\603c5333af71aa2546124f73596c5ac2a15c7252\VaccineEffectChart.fs', 3, 1, 1, 3, 0, 0, 3554
'../in/flagged_repos/website/before\665dabf84f0923653433a59bb3b856f46d59d396\Highcharts.fs', 0, 1, 1, 10, 0, 0, 5222
'../in/flagged_repos/website/before\753b3f0da614cc31546ccd299fc5361f09437a3f\Rendering.fs', 0, 0, 0, 5, 0, 0, 2735
'../in/flagged_repos/website/before\7e56846e18a2bed31c409437e1ffb51a2057813e\HospitalsChart.fs', 0, 4, 5, 22, 0, 0, 4960
'../in/flagged_repos/website/before\80a9e35678f69f45bef688f6a9ef168dc88d3a08\VaccinationChart.fs', 0, 1, 1, 5, 0, 0, 3411
'../in/flagged_repos/website/before\8762d4587f4e8a2347a29ff7095fdfe6bcedbeb5\Rendering.fs', 0, 0, 0, 3, 0, 0, 2693
'../in/flagged_repos/website/before\8e89eff2373200fff0a5a1030866b80c3a99586b\PatientsChart.fs', 5, 3, 3, 10, 0, 0, 3732
'../in/flagged_repos/website/before\a308d1fc5f5f6d4d5938d21fd88a39f074ada7e8\VaccinationChart.fs', 0, 2, 2, 6, 0, 0, 4934
'../in/flagged_repos/website/before\a3e9f2efd13cabece6a21d0d13e25f17e498a72a\Sewage.fs', 0, 0, 0, 0, 0, 0, 346
'../in/flagged_repos/website/before\a77eb2eace3078afc6b657b0145c247cbbc765e2\VaccinationChart.fs', 0, 2, 2, 6, 0, 0, 5000
'../in/flagged_repos/website/before\ba2eb25cdf60877aea2b668be375dc4a931aa6e8\SourcesChart.fs', 0, 0, 0, 2, 0, 0, 3769
'../in/flagged_repos/website/before\c8b03a41bad583c3a135a874983e18c174a2b217\AgeGroupsChart.fs', 0, 0, 0, 2, 2, 0, 3472
'../in/flagged_repos/website/before\d8d3f6acf7633b4b9377fdb21738221ec5780ec5\DailyComparisonChart.fs', 6, 2, 2, 7, 0, 0, 2849
'../in/flagged_repos/website/before\e244564ca53c0b518b8cf0e06a801c2ae3bd1cf2\VaccinationChart.fs', 0, 2, 2, 6, 0, 0, 4896
'../in/flagged_repos/website/before\ee08bc8bc64a094b7c9d38456d2496a1292d0a91\VaccinationChart.fs', 0, 1, 1, 2, 0, 0, 2692
'../in/flagged_repos/website/before\f216d89174bdec456416f73ef5d9bdf3c308b0a0\VaccinationChart.fs', 0, 2, 2, 6, 0, 0, 5003
'../in/flagged_repos/website/before\f74c207ae7d2b46d0eff25231f99d9f5cb9996dc\PatientsChart.fs', 5, 3, 3, 10, 0, 0, 3774
